kind,id,type,i,j,aux,x_m,y_m,z_m,level,status,restraint,axis
N,604001,NODE,,,,-0.575,-0.35,0.0,0,MANUAL_WALL_NODE,true,W5
N,604002,NODE,,,,-0.575,1.2399999999999998,3.96,1,MANUAL_WALL_NODE,false,W5
N,604003,NODE,,,,-0.575,2.829999999999999,7.92,2,MANUAL_WALL_NODE,false,W5
N,604004,NODE,,,,-0.575,4.42,11.88,3,MANUAL_WALL_NODE,false,W5
N,604005,NODE,,,,-0.575,6.009999999999999,15.84,4,MANUAL_WALL_NODE,false,W5
N,604006,NODE,,,,-0.575,7.6,19.8,5,MANUAL_WALL_NODE,false,W5
N,605001,NODE,,,,-0.575,9.65,0.0,0,MANUAL_WALL_NODE,true,W6
N,605002,NODE,,,,-0.575,11.275,3.96,1,MANUAL_WALL_NODE,false,W6
N,605003,NODE,,,,-0.575,12.899999999999999,7.92,2,MANUAL_WALL_NODE,false,W6
N,605004,NODE,,,,-0.575,14.524999999999999,11.88,3,MANUAL_WALL_NODE,false,W6
N,605005,NODE,,,,-0.575,16.15,15.84,4,MANUAL_WALL_NODE,false,W6
N,606005,NODE,,,,-0.575,6.545,15.84,4,MANUAL_WALL_NODE,false,W7
N,606006,NODE,,,,-0.575,13.045,19.8,5,MANUAL_WALL_NODE,false,W7
N,607001,NODE,,,,-0.575,13.045,0.0,0,MANUAL_WALL_NODE,true,W8
N,607002,NODE,,,,-1.104,13.045,3.96,1,MANUAL_WALL_NODE,false,W8
N,607003,NODE,,,,-1.633,13.045,7.92,2,MANUAL_WALL_NODE,false,W8
N,607004,NODE,,,,-2.162,13.045,11.88,3,MANUAL_WALL_NODE,false,W8
N,607005,NODE,,,,-2.691,13.045,15.84,4,MANUAL_WALL_NODE,false,W8
N,607006,NODE,,,,-3.2200000000000006,13.045,19.8,5,MANUAL_WALL_NODE,false,W8
N,608001,NODE,,,,-3.22,10.1,0.0,0,MANUAL_WALL_NODE,true,W9
N,608002,NODE,,,,-3.22,10.689,3.96,1,MANUAL_WALL_NODE,false,W9
N,608003,NODE,,,,-3.22,11.277999999999999,7.92,2,MANUAL_WALL_NODE,false,W9
N,608004,NODE,,,,-3.22,11.866999999999999,11.88,3,MANUAL_WALL_NODE,false,W9
N,608005,NODE,,,,-3.22,12.456,15.84,4,MANUAL_WALL_NODE,false,W9
