caso,bloque,z_m,cm_x_m,cm_y_m,fuerza_kN,ux_cm_m,uy_cm_m,rz_rad,ux_master_m,uy_master_m,master_x_m,master_y_m
EYQ,LT1,3.96,9.5812017968513,8.280517243116533,0.0,2.2259709421479717e-14,1.0902072332771169e-11,-1.999547632884792e-13,-1.718492753120945e-12,1.1683596873766884e-11,0.0,0.0
EYQ,LT2,3.96,-17.640862964141593,8.281091932562566,0.0,-1.9214806773472498e-08,0.0001455633499844998,-2.0788756978328837e-11,-1.9382297413228997e-08,0.00014556365427895797,-31.679999999999996,0.0
EYQ,LT1,7.92,21.479515622754562,7.88078587266745,0.0,-4.837491448274745e-07,0.00010620789356942079,-4.823295331951875e-09,-5.201404487485227e-07,0.00010631357449303018,0.0,0.0
EYQ,LT2,7.92,-17.894092051651985,8.299402816317034,0.0,-7.442996886371967e-08,0.0003321981983813958,-4.7225741041545385e-12,-7.446779617265208e-08,0.0003321982669741788,-32.05,0.07599999999999985
EYQ,LT1,11.88,20.881144798066224,7.468772582357823,0.0,1.2419721078593588e-06,0.0004208921979789071,3.1908761208200317e-06,2.4109470143136592e-05,0.00035173767557489737,0.0,0.0
EYQ,LT2,11.88,-17.893786314414243,8.300052781071829,0.0,-2.062796012325794e-07,0.0005040326136278717,3.809219641148102e-12,-2.0625130821268896e-07,0.0005040325582993098,-32.05,0.6589999999999998
EYQ,LT1,15.84,23.809503212661653,7.538875422021011,0.0,-6.858938215689769e-06,0.0006444699305858584,1.563883058966294e-10,-6.857732536834648e-06,0.0006444662008709256,0.0,0.0
EYQ,LT2,15.84,-17.71341295487376,8.331206760522804,0.0,-6.8576829702630735e-06,0.0006444656862643437,3.026453359711589e-11,-6.857473601982679e-06,0.0006444652418645467,-32.05,1.2419999999999998
EYQ,LT1,19.8,24.810622677985457,7.029230343813885,0.0,-9.997625605226233e-06,0.000986678399595708,6.888885214642843e-09,-9.944101678790597e-06,0.0009865013773019153,0.0,0.0
EYQ,LT2,19.8,-18.23198866859197,8.262057924227996,0.0,-1.3542532996123088e-05,0.0006860640716342411,1.218631569136833e-11,-1.3542452034588602e-05,0.0006860638998094112,-32.05,1.825
