caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,400001,3.724857578505282e-05,1.2371801225869835e-05,-0.00036651360399127215,-2.097938790808015e-06,1.2638041507902789e-05,1.798733592038815e-13
G,400101,3.724857519384025e-05,1.2371802304646834e-05,-0.0019037980588082787,-1.252102974470834e-05,0.00024312609886119503,1.7986679594521392e-13
G,400201,3.72485758167784e-05,1.2371805706863161e-05,-0.00299892727143435,0.0002619362250751939,3.113784810239024e-05,1.798667877744317e-13
G,400301,3.7248575748367676e-05,1.237180758649258e-05,-0.00200148707285633,0.0002710143685144995,-2.8458820991495803e-05,1.798667880299659e-13
G,400401,3.724857664827066e-05,1.2371808388144059e-05,-0.0009414695389721744,-1.2112661294832216e-05,-0.00010079827832637647,1.7986678797615794e-13
G,400451,3.724857445186075e-05,1.2371809264042674e-05,-0.0011163801911955962,-1.1486798458605597e-05,0.00038222394650076703,1.7986678850113336e-13
G,400501,3.724857323005468e-05,1.2371809754060558e-05,-0.007216975242302293,-0.00010178357244520288,0.0006556942020791875,1.798667867418345e-13
G,401001,3.724857472066186e-05,1.2371801146565984e-05,-0.0005360071544088948,-2.208605013478013e-06,-6.08699920117125e-05,1.7986642726023715e-13
G,401101,3.7248574032916964e-05,1.2371803051548356e-05,-0.0027139791968804894,-3.4684765958767306e-06,0.0003094256000103687,1.7986678759099513e-13
G,401201,3.7248574697751186e-05,1.2371804750488523e-05,-0.002932262535352598,-1.5465580856236628e-06,3.8139995281732363e-06,1.7986678775363394e-13
G,401301,3.724857455117484e-05,1.2371806539118545e-05,-0.0020360837970864755,-4.52549332790756e-06,-4.485860872335378e-06,1.7986678781121212e-13
G,401401,3.724857519071889e-05,1.2371808410783201e-05,-0.0014702983872684411,-5.177689542461182e-06,-0.00020486307712411266,1.7986678812776183e-13
G,401451,3.724857268934252e-05,1.2371809302527194e-05,-0.0015771620544867192,-4.112904018129e-06,0.0005143915496063075,1.7986678812061102e-13
G,401501,3.7248571158586924e-05,1.2371810074530498e-05,-0.009627267548356147,-3.259869676890416e-05,0.0008395803596471594,1.7986678775247617e-13
G,402001,3.7248573369362236e-05,1.2371801228136158e-05,-0.0006603502353453513,-3.2440483001389728e-06,0.00019726540115803877,1.7986678870594134e-13
G,402101,3.724857254652176e-05,1.2371803075311443e-05,-0.0016656366210476268,1.045482397397539e-05,0.0001408846840460947,1.798667877931697e-13
G,402201,3.7248573069316346e-05,1.237180486880142e-05,-0.0021540830508498037,7.076830742301641e-06,1.0310272883388557e-05,1.7986678791582414e-13
G,402301,3.724857294155803e-05,1.2371806663900398e-05,-0.001276943980063066,6.462622077821175e-06,6.491660292962773e-07,1.7986678790487687e-13
G,402401,3.724857339789034e-05,1.2371808438101562e-05,-0.0009085282670135792,3.7134693590190002e-06,-0.00014261760230657828,1.7986678804180583e-13
G,402451,3.724857150717465e-05,1.2371809349429431e-05,-0.0010498351839687752,4.12687404305687e-06,0.0004097352352699768,1.7986678755201636e-13
G,402501,3.724857019931143e-05,1.2371810533350612e-05,-0.007473740802597928,6.653951141104105e-05,0.0006814293943214575,1.7986678906096697e-13
G,500001,0.00018396234809881507,1.6829494490131e-05,-0.00045490040071823393,-5.025091933954614e-06,-7.706659734896096e-05,-5.203110367433355e-09
G,500101,0.00018396234966605858,1.6777463514852665e-05,-0.0020783116292527014,-4.562216644212587e-05,0.0005135265696356985,-5.203110360862398e-09
G,500201,0.00018396234798266967,1.672543064047319e-05,-0.0032950842951820426,0.00045111181355360027,-7.622813356899678e-06,-5.20311036086185e-09
G,500301,0.00018396234778303257,1.667339950264632e-05,-0.002298528647698333,0.00045693381979296173,-3.497066483784675e-05,-5.203110360861678e-09
G,500401,0.00018396234673418937,1.6621370160039263e-05,-0.001102309028805654,-2.6880413596596807e-05,-0.0004194159880642636,-5.203110360861923e-09
G,500451,0.00018396235018863482,1.6595354612441255e-05,-0.001283684935107919,-2.933934276344009e-05,0.0006020174625824703,-5.203110360863195e-09
G,500501,0.00018396235065381317,1.656933943723657e-05,-0.007223173791376267,-0.00010305773590782582,0.0005311383744041399,-5.203110360860893e-09
G,501001,0.0001840000696931335,1.6829928698254374e-05,-0.0006538076009385154,-3.622110000602757e-05,-6.967974475209187e-06,-5.203111247206499e-09
G,501101,0.00018400007229354488,1.677746339739682e-05,-0.0029211647960611714,-3.52117367022696e-06,0.00048092102209103716,-5.203110360974516e-09
G,501201,0.00018400007031726555,1.6725432330577435e-05,-0.0031567012338390107,-2.1467644630368267e-05,-7.416255953920467e-05,-5.203110360862091e-09
G,501301,0.0001840000705388905,1.66734012457219e-05,-0.002258742535183624,-2.665825897571723e-05,3.065783438885385e-05,-5.203110360862407e-09
G,501401,0.00018400006903799936,1.6621370091274808e-05,-0.0016208511842895612,-3.867577286976416e-06,-0.0004226224712215865,-5.203110360862249e-09
G,501451,0.00018400007344008187,1.6595354540020632e-05,-0.0017988428955157283,-5.173122485211591e-06,0.0007752868082569289,-5.203110360862554e-09
G,501501,0.00018400007397136302,1.6569339116766623e-05,-0.009635324439863317,-3.267381545703368e-05,0.0006814777468050835,-5.203110360861905e-09
G,502001,0.00018404637767828843,1.68294945021694e-05,-0.0008223179975937638,-4.2471505199284095e-06,-0.0004074977770597152,-5.203110360857415e-09
G,502101,0.00018404637939844893,1.6777463261239024e-05,-0.0018145546272226134,4.1853992234069384e-05,0.0003980349361997226,-5.2031103608617996e-09
G,502201,0.00018404637808460092,1.672543217952144e-05,-0.00231589541712114,3.5695818480942144e-05,-4.358841978086519e-05,-5.20311036086228e-09
G,502301,0.00018404637821391558,1.6673401078199086e-05,-0.0014417120492655176,3.531198919268648e-05,2.2390896323590057e-05,-5.203110360862226e-09
G,502401,0.00018404637715201984,1.6621370007027112e-05,-0.0010162749241057016,2.393222409830347e-05,-0.0002968116977240951,-5.203110360862555e-09
G,502451,0.0001840463805096137,1.6595354453309646e-05,-0.0012181753719353735,2.435085206113335e-05,0.0006131110230548885,-5.203110360861596e-09
G,502501,0.00018404638101203572,1.656933865794651e-05,-0.007479733253879529,6.801005818248932e-05,0.0005602281397167687,-5.203110360863212e-09
G,600003,-5.082046730232441e-06,2.104406512246671e-08,-0.0003107558254765389,-7.959618525346849e-05,-7.690723998304252e-06,1.3357753154186898e-13
G,600004,3.1433779057101847e-06,-1.9297212291867794e-06,-0.0006275908024093666,-0.0006237343331614522,-8.167398483901427e-05,-6.636106765065834e-13
G,600005,3.724857909888627e-05,1.2371788699439494e-05,-0.0012001361138478306,-0.0010525567710096921,-0.0001321292378120148,4.1930905389627334e-13
G,600006,0.00014123618399341248,1.65295151518705e-05,-0.0005101884557356374,-9.20124843917312e-06,3.205672651499272e-05,1.133300926373837e-12
G,601002,-5.243087977026334e-13,2.879517949509712e-12,-0.0002098540883890269,-5.3050950693774174e-05,0.00019949480413032844,-2.061233730995228e-14
G,601003,-5.082046720080568e-06,2.1044163969840468e-08,-0.0004568815364073723,-0.00011428069776885428,0.0003749084067602111,1.3357753138806733e-13
G,601004,3.143377468390742e-06,-1.92972196579463e-06,-0.00073842955540374,-0.0001877271270648308,0.0005291985691480871,-6.636106766214991e-13
G,601005,3.724857961966815e-05,1.2371789320016892e-05,-0.0010510639341261433,-0.0002595456509194984,0.0006580003675493942,4.1930905493491164e-13
G,601006,0.00014123618542968256,1.6529516471906296e-05,-0.0005101884596156528,-9.201245927037407e-06,3.2056728232583874e-05,1.1326029245334482e-12
G,602002,-2.1699948748396928e-13,2.8871445240947816e-12,-0.0009406307898068857,0.00109333145949778,-3.2666164749173005e-05,-2.0612320720848873e-14
G,602003,-5.082048789597271e-06,2.1044065122462373e-08,-0.0005676030378817563,0.0006607592580926403,-4.585331051045565e-06,1.3357754030435752e-13
G,602004,3.1433881371964522e-06,-1.9297212291868497e-06,-0.00045283542242947216,8.535486527134852e-05,9.385435499220456e-06,-6.636083717830631e-13
G,603002,-1.9141976592285726e-13,2.87951803576599e-12,-0.0002398341319001122,0.00010578938000052501,0.0002631504546513323,-2.061235326778072e-14
G,603003,-5.082048877357699e-06,2.1044163969837523e-08,-0.0005333519389042011,0.0002162393402758456,0.0004911642270290347,1.3357753247719752e-13
G,603004,3.1433881857031403e-06,-1.9297219657946316e-06,-0.0008788867436078508,0.0003352459113421331,0.0006934200272511015,-6.636106757546325e-13
G,603005,3.7248572847826933e-05,1.2371789320016895e-05,-0.0012567218143968155,0.00045015982687043746,0.0008502042693126127,4.1930905268228067e-13
G,603006,0.00014123616747623564,1.652951616747224e-05,-0.0005560113444684715,1.0427846939273417e-05,3.573174571383203e-05,1.1335748904260153e-12
G,605005,3.7248572833359556e-05,1.2371803549898682e-05,-0.0005810572418283684,-3.6282601375156035e-05,3.4561323451934693e-06,4.191821568727756e-13
G,609002,2.6104610136237364e-14,2.4562637837838633e-12,-0.00013882663623580817,-1.0185876525309303e-07,-3.607422678491304e-06,-5.5848064776895726e-14
G,612002,1.1452686662191902e-13,2.4609901306250245e-12,-0.0002007865605116271,-4.802142915804224e-05,-3.6074261800784065e-06,-5.584199617786716e-14
G,612003,-5.082048418697748e-06,2.104880181746691e-08,-0.0005621451339660338,-5.412980988085876e-05,-1.841801312769241e-06,9.7599302122152e-14
G,612004,3.1433818222850797e-06,-1.929741685416675e-06,-0.0006578357776292945,5.681447821709697e-05,9.730355804977362e-07,3.7877594331707115e-14
G,612005,3.724857474178735e-05,1.2371801180901558e-05,-0.0006361471311205042,5.4638470145667624e-05,-0.00010463231878826416,1.7987335284049534e-13
G,612006,0.00018400006906323712,1.68303628261986e-05,-0.0006538076111718693,-3.6221100236408554e-05,-6.967976637072382e-06,-5.203112492855971e-09
G,700001,1.66949957820807e-13,1.828976622318681e-14,-3.1533661145463756e-11,-2.4142493378416082e-14,2.2037394346485016e-13,-2.603088339419806e-23
G,700002,-4.844607622964175e-14,1.3656132049147552e-14,-3.1648557511453284e-11,-1.802609613125895e-14,-6.394882059615841e-14,-2.6030883195619506e-23
G,700003,-1.6996660463819666e-15,3.2449505412484816e-13,-4.429053271517187e-12,2.836945982515732e-15,-2.9476618454426523e-15,-5.837409043159258e-18
G,700004,-4.1723959876670907e-13,-2.8116285309301352e-14,-3.489793410293512e-11,3.711349434809918e-14,-5.507562689425675e-13,-2.6030881811845274e-23
G,700005,-1.2160287481829817e-13,-1.5758281818357374e-14,-3.926983415798195e-11,2.0800929910211158e-14,-1.6051579456452713e-13,-2.6030883243589826e-23
G,700006,-3.652014402736463e-14,-1.3469003068671976e-14,-4.161074927732075e-11,1.7779082128675257e-14,-4.8206590234247897e-14,-2.603088319999408e-23
G,700007,9.307322287656742e-14,-2.3815405053230037e-14,-2.506103663678159e-11,3.143633255339963e-14,1.228566533924278e-13,-2.603088308557202e-23
G,700008,-3.3271217049367245e-14,-2.837714773270806e-14,-2.5398694044453213e-11,3.745783303064987e-14,-4.391800675617869e-14,-2.603088325005644e-23
G,701001,-8.218311098498753e-14,2.6796871260893046e-12,-0.0008430705850361541,7.965427761006384e-06,-7.27088602009713e-05,-2.0612337206799592e-14
G,701002,-2.664477603243327e-13,2.4712810800703625e-12,-0.0008461657525613807,5.94742041308279e-06,2.109889098127342e-05,-2.0612337049556825e-14
G,701003,-1.8606857374857791e-13,2.981554341579861e-12,-0.0001335554555223224,-1.245912148842328e-06,4.1430674437281796e-07,-2.0635199128653874e-14
G,701004,-7.305524340654278e-13,2.7779250785796565e-12,-0.0009336999823567984,-1.224500633406182e-05,0.00018171322696998042,-2.0612335953826774e-14
G,701005,-5.016518856593282e-13,2.632562795419998e-12,-0.001051473620864654,-6.862936331418683e-06,5.295962031535317e-05,-2.061233708754172e-14
G,701006,-3.817551921922712e-13,2.427256287604832e-12,-0.00111453501009388,-5.865925802271774e-06,1.5904993613417573e-05,-2.0612337053020795e-14
G,701007,-4.71709322107423e-13,2.6174614605126898e-12,-0.0006687059999622957,-1.0371917423389957e-05,-4.0534589375339686e-05,-2.0612336962416643e-14
G,701008,-5.351459143848148e-13,2.405695939544291e-12,-0.0006778020774045765,-1.2358615096389388e-05,1.4490043928322736e-05,-2.0612337092662255e-14
G,702001,-5.082048934514289e-06,2.1045576200966987e-08,-0.00150939535235955,1.0629566579463922e-05,-5.0140572327070804e-05,1.3357753038420694e-13
G,702002,-5.0820489008890345e-06,2.1046913739170043e-08,-0.0015209912937399913,9.63543217617314e-06,3.010906390528763e-05,1.3357753039532958e-13
G,702003,-5.082048890848864e-06,2.104886064503502e-08,-0.0002580951555176487,-1.618578977086026e-06,-3.7473719749623443e-06,1.336442273929301e-13
G,702004,-5.082047650088979e-06,2.1044536723784924e-08,-0.0016705315844672101,-1.3913579432621694e-05,0.00015233788541682179,1.3357753027811573e-13
G,702005,-5.082047681909503e-06,2.1045546950615666e-08,-0.001885499734772068,-9.89368774219653e-06,5.26487417659551e-05,1.3357753031842495e-13
G,702006,-5.082047617616222e-06,2.104688103301822e-08,-0.0019969848681992545,-9.537933177117092e-06,4.321818952535636e-07,1.3357753037979977e-13
G,702007,-5.082046761602828e-06,2.1045529877201608e-08,-0.001199714262408966,-1.6470513792912295e-05,-2.5474441214864317e-05,1.3357753026756213e-13
G,702008,-5.08204666689364e-06,2.104686357653132e-08,-0.001218375951406041,-1.8927742886681326e-05,2.1530146022370835e-06,1.33577530324864e-13
G,703001,3.1433882051236314e-06,-1.9297286845865045e-06,-0.0019996198841388487,1.258967094884169e-05,-4.1095466456872584e-05,-6.636106741402091e-13
G,703002,3.1433883342225364e-06,-1.9297353168207043e-06,-0.002021329180942551,1.1339428731208981e-05,3.806805138531635e-05,-6.636106742214384e-13
G,703003,3.1433882130288404e-06,-1.9297417733606994e-06,-0.00038981754560010615,-9.835384099198854e-06,1.0045361108391581e-05,-6.633134981514173e-13
G,703004,3.143382314299205e-06,-1.9297236788042947e-06,-0.0022120711558443794,-2.4015953935395306e-05,0.0001716979919091256,-6.636106743090958e-13
G,703005,3.143382271114113e-06,-1.9297286879332057e-06,-0.002504175276064768,-1.4977598683725952e-05,5.680263427675603e-05,-6.636106741098915e-13
G,703006,3.1433822747499783e-06,-1.9297353242296664e-06,-0.0026508237818650667,-1.4717868755198022e-05,-8.252547786273596e-06,-6.636106742156662e-13
G,703007,3.1433774975977726e-06,-1.929728688374894e-06,-0.0015922284744039033,-2.592227191133196e-05,-1.5730155165766453e-05,-6.63610674094032e-13
