losa_id,receptor,id,area_m2,peso_propio_kN,G_kN,Q_kN
1000019,beam,491,4.401397,16.18610995876875,27.408476999999998,17.11520497358
1000020,beam,279,3.515625,12.92868896484375,21.89258,13.679706983635
1000020,beam,280,3.515625,12.92868896484375,21.89258,14.062191830925
1000020,beam,492,10.771875,39.61350298828125,67.078865,28.859310684155002
1000020,beam,495,4.219691,15.51788727943125,26.276957,20.615701439725
1000020,beam,496,6.5521840000000005,24.095615708849998,40.801908000000005,32.0113180359
1000021,beam,278,0.69375,2.551261289062499,4.320136,2.7979107948749995
1000021,beam,279,3.515625,12.92868896484375,21.89258,17.003010032925
1000021,beam,482,2.821875,10.377427675781249,17.572445,11.3806957782
1000021,beam,493,3.790938,13.9411508016375,23.607014999999997,14.74138373862
1000021,beam,494,0.690312,2.53861806555,4.298728,2.6843380198949998
1000021,beam,497,4.48125,16.4797688671875,27.905742,21.84063538125
1000022,beam,282,4.48125,16.4797688671875,27.905741000000003,21.97302515625
1000022,beam,285,4.48125,16.4797688671875,27.905742,21.97302515625
1000022,beam,471,3.515625,12.92868896484375,21.892580000000002,17.238251953125
1000022,beam,490,3.515625,12.92868896484375,21.892580000000002,17.238251953125
1000023,beam,277,3.369319,12.390649564256247,20.9815,16.520866085675
1000023,beam,490,3.369319,12.390649564256247,20.9815,16.520866085675
1000023,beam,495,2.227556,8.191823267775,13.871487000000002,10.9224310237
1000023,beam,500,2.227556,8.191823267775,13.871487,10.922431023699998
1000024,beam,277,3.515625,12.92868896484375,21.892580000000002,17.238251953124998
1000024,beam,489,3.515625,12.92868896484375,21.89258,17.238251953125
1000024,beam,496,5.175000000000001,19.031030156250004,32.225877,25.374706875
1000024,beam,501,5.175,19.031030156249997,32.225878,25.374706874999998
1000025,beam,483,3.515625,12.92868896484375,21.892580000000002,14.193287128124997
1000025,beam,489,3.515625,12.92868896484375,21.892580000000002,17.238251953125
1000025,beam,497,4.48125,16.4797688671875,27.905741,21.84063538125
1000025,beam,502,4.48125,16.4797688671875,27.905742,21.84063538125
1000026,beam,283,10.078125,37.06224169921875,62.758729,49.416322265625
1000026,beam,285,5.928718,21.802823390512497,36.919446,29.07043118735
1000026,beam,472,3.515625,12.92868896484375,21.89258,17.238251953124998
1000026,beam,477,3.515625,12.92868896484375,21.89258,17.238251953124998
1000026,beam,500,4.149407,15.259418308706248,25.839284,20.345891078275
1000027,beam,477,3.515625,12.92868896484375,21.892580000000002,17.238251953124998
1000027,beam,484,3.515625,12.92868896484375,21.892580000000002,14.193287128124997
1000027,beam,498,13.171873999999999,48.43948431078749,82.02420000000001,64.45358930604999
1000027,beam,501,6.859734,25.226628911662495,42.717097,33.566559562725
1000027,beam,502,6.312141,23.21285907661875,39.307103,30.887034646649997
1000028,beam,283,11.875,43.67023828125,73.94827,58.226984374999994
1000028,beam,286,11.875,43.67023828125,73.94827,58.226984374999994
1000028,beam,473,6.25,22.9843359375,38.920142,30.64578125
1000028,beam,478,6.25,22.9843359375,38.920142,30.64578125
1000029,beam,478,6.25,22.9843359375,38.920142,30.64578125
1000029,beam,485,6.25,22.9843359375,38.920142,26.497568299999998
1000029,beam,498,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000029,beam,503,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000030,beam,284,11.875,43.67023828125,73.94827,58.226984374999994
1000030,beam,286,11.875,43.67023828125,73.94827,58.226984374999994
1000030,beam,474,6.25,22.9843359375,38.920142,30.64578125
1000030,beam,479,6.25,22.9843359375,38.920142,30.64578125
1000031,beam,479,6.25,22.9843359375,38.920142,30.64578125
1000031,beam,486,6.25,22.9843359375,38.920142,26.497568299999998
1000031,beam,499,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000031,beam,503,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000032,beam,284,11.875,43.67023828125,73.94827,58.226984374999994
1000032,beam,287,11.875,43.67023828125,73.94827,58.226984374999994
1000032,beam,475,6.25,22.9843359375,38.920142,30.64578125
1000032,beam,480,6.25,22.9843359375,38.920142,30.64578125
1000033,beam,480,6.25,22.9843359375,38.920142,30.64578125
1000033,beam,487,6.25,22.9843359375,38.920142,26.497568299999998
1000033,beam,499,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000033,beam,504,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000034,beam,287,12.418125,45.66757707421875,77.330431,60.890102765624995
1000034,beam,288,4.40325,16.1929243546875,27.420019,21.590565806249998
1000034,beam,476,7.680625,28.24545043359375,47.828963,37.660600578125
1000034,beam,481,7.680625,28.24545043359375,47.828963,37.660600578125
1000034,beam,505,6.604875,24.289386532031248,41.130028,32.385848709375
1000035,beam,481,7.680625,28.24545043359375,47.828962000000004,37.660600578125
1000035,beam,488,7.67605,28.228625899687497,47.800474,33.076825268374996
1000035,beam,504,16.476224000000002,60.591210783600005,102.601123,80.6558912698
1000035,beam,506,9.314188999999999,34.25287183381874,58.001535999999994,45.661478563749995
1000036,beam,227,19.1615,70.466296490625,119.322929,46.977521413
1000036,beam,228,12.215,44.920586156249996,76.065526,29.947051329999997
1000036,beam,231,13.09,48.13839318749999,81.514346,32.09225558
1000036,beam,232,13.035,47.93613103125,81.171849,31.957414169999996
1000037,beam,228,20.659999999999997,75.97702087499998,128.654422,100.5941640375
1000037,beam,229,23.79,87.4875763125,148.145629,69.99006105
1000037,beam,418,19.125,70.33206796875,119.095635,78.154097175
1000037,beam,419,19.125,70.33206796875,119.09563499999999,63.68193343749999
1000038,beam,232,11.875,43.67023828125,73.94827,44.007341
1000038,beam,238,11.875,43.67023828125,73.94827,46.5815875
1000038,beam,396,6.25,22.9843359375,38.920142,24.4706563125
1000038,beam,404,6.25,22.9843359375,38.920142,24.4706563125
1000039,beam,404,6.25,22.9843359375,38.920142,30.64578125
1000039,beam,411,6.25,22.9843359375,38.920142,18.38746875
1000039,beam,419,16.0,58.83989999999999,99.635564,54.4269075
1000039,beam,424,16.0,58.83989999999999,99.635564,54.4269075
1000040,beam,230,11.1858,41.13570958875,69.656468,43.878090228000005
1000040,beam,237,4.2436,15.605812477499997,26.425843,16.6002312885
1000040,beam,240,4.2436,15.605812477499997,26.425842,16.646199976
1000040,beam,396,7.467156,27.460419520274993,46.499645,29.260427665682
1000040,beam,397,3.718644,13.675290068474999,23.156824,14.571693874818
1000041,beam,233,11.875,43.67023828125,73.94827,46.5815875
1000041,beam,238,11.875,43.67023828125,73.94827,46.5815875
1000041,beam,397,3.1125,11.446199296874996,19.382231,12.20927925
1000041,beam,398,3.1375,11.538136640625,19.537911,12.307345750000001
1000041,beam,405,6.25,22.9843359375,38.920142,24.516625
1000042,beam,405,6.25,22.9843359375,38.920142,30.64578125
1000042,beam,412,6.25,22.9843359375,38.920142,18.38746875
1000042,beam,420,16.0,58.83989999999999,99.635564,54.4269075
1000042,beam,424,16.0,58.83989999999999,99.635564,54.4269075
1000043,beam,233,11.875,43.67023828125,73.94827,46.5815875
1000043,beam,239,11.875,43.67023828125,73.94827,46.5815875
1000043,beam,399,6.25,22.9843359375,38.920142,24.516625
1000043,beam,406,6.25,22.9843359375,38.920142,24.516625
1000044,beam,406,6.25,22.9843359375,38.920142,30.64578125
1000044,beam,413,6.25,22.9843359375,38.920142,18.38746875
1000044,beam,420,16.0,58.83989999999999,99.635564,54.4269075
1000044,beam,425,16.0,58.83989999999999,99.635564,54.4269075
1000045,beam,234,11.875,43.67023828125,73.94827,46.5815875
1000045,beam,239,11.875,43.67023828125,73.94827,46.5815875
