caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,97,COLUMN,F,10.0,0.0,15.84,19.8,400101,500101,,71,652.193685746611,0,652.193685746611,OK
G,98,COLUMN,G,20.0,0.0,15.84,19.8,400201,500201,,72,1100.304142392636,0,1100.304142392636,OK
G,99,COLUMN,H,30.0,0.0,15.84,19.8,400301,500301,,73,1105.4551685767235,0,1105.4551685767235,OK
G,100,COLUMN,I,40.0,0.0,15.84,19.8,400401,500401,,74,599.0651673264861,0,599.0651673264861,OK
G,101,COLUMN,I_prima,45.0,0.0,15.84,19.8,400451,500451,,75,632.9702355715019,0,632.9702355715019,OK
G,102,COLUMN,J,50.0,0.0,15.84,19.8,400501,500501,,,23.007798325197346,0,23.007798325197346,OK
G,103,COLUMN,E,0.0,7.25,15.84,19.8,401001,501001,,76,411.4394065652921,0,411.4394065652921,OK
G,104,COLUMN,F,10.0,7.25,15.84,19.8,401101,501101,,77,774.3083578636706,0,774.3083578636706,OK
G,105,COLUMN,G,20.0,7.25,15.84,19.8,401201,501201,,78,832.0215571224421,0,832.0215571224421,OK
G,106,COLUMN,H,30.0,7.25,15.84,19.8,401301,501301,,79,825.6904520892165,0,825.6904520892165,OK
G,107,COLUMN,I,40.0,7.25,15.84,19.8,401401,501401,,80,554.6588764201708,0,554.6588764201708,OK
G,108,COLUMN,I_prima,45.0,7.25,15.84,19.8,401451,501451,,81,824.2591538926506,0,824.2591538926506,OK
G,109,COLUMN,J,50.0,7.25,15.84,19.8,401501,501501,,,29.783469916450052,0,29.783469916450052,OK
G,110,COLUMN,E,0.0,16.15,15.84,19.8,402001,502001,,82,605.6743306423261,0,605.6743306423261,OK
G,111,COLUMN,F,10.0,16.15,15.84,19.8,402101,502101,,83,552.6090132225355,0,552.6090132225355,OK
G,112,COLUMN,G,20.0,16.15,15.84,19.8,402201,502201,,84,599.518546568071,0,599.518546568071,OK
G,113,COLUMN,H,30.0,16.15,15.84,19.8,402301,502301,,85,608.9528989151349,0,608.9528989151349,OK
G,114,COLUMN,I,40.0,16.15,15.84,19.8,402401,502401,,86,397.0229064258774,0,397.0229064258774,OK
G,115,COLUMN,I_prima,45.0,16.15,15.84,19.8,402451,502451,,87,621.18860249141,0,621.18860249141,OK
G,116,COLUMN,J,50.0,16.15,15.84,19.8,402501,502501,,,22.04126615550366,0,22.04126615550366,OK
G,117,COLUMN,1B,-20.8,16.15,15.84,19.8,704001,705001,,88,524.3605155203612,0,524.3605155203612,OK
G,118,COLUMN,1C,-10.8,16.15,15.84,19.8,704002,705002,,89,595.11816050317,0,595.11816050317,OK
G,119,COLUMN,1D,-0.8,16.15,15.84,19.8,704003,705003,,90,23.786029575000004,0,23.786029575000004,OK
G,120,COLUMN,2A,-28.3,7.25,15.84,19.8,704004,705004,,91,582.4512795231101,0,582.4512795231101,OK
G,121,COLUMN,2B,-20.8,7.25,15.84,19.8,704005,705005,,92,707.511159343683,0,707.511159343683,OK
G,122,COLUMN,2C,-10.8,7.25,15.84,19.8,704006,705006,,93,755.2192420652641,0,755.2192420652641,OK
G,123,COLUMN,3B,-20.8,0.0,15.84,19.8,704007,705007,,94,425.68561491778456,0,425.68561491778456,OK
G,124,COLUMN,3C,-10.8,0.0,15.84,19.8,704008,705008,,95,472.8592830845443,0,472.8592830845443,OK
G,355,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,10.0,-4.12,7.92,11.88,900017,900115,,,4.009010944229911,0,4.009010944229911,OK
