caso,elemento,Ni_kN,Vyi_kN,Vzi_kN,Ti_kNm,Myi_kNm,Mzi_kNm,Nj_kN,Vyj_kN,Vzj_kN,Tj_kNm,Myj_kNm,Mzj_kNm
Q,301,-4.035850617408199e-07,28.942719924186022,1.0460182321773464e-08,8.13090734875529e-10,-2.282584485968648e-08,34.595007513411204,4.035850617408199e-07,6.149150717688974,-1.0460182321773464e-08,-8.13090734875529e-10,-2.267594824002808e-08,14.981005510719873
Q,542,-7.689771334512685e-07,-6.149150717688979,-9.03254329204345e-08,8.13090735179779e-10,1.3076053035217245e-07,-14.981005510719873,7.689771334512685e-07,27.739716523938977,9.03254329204345e-08,-8.13090735179779e-10,1.3118322511708763e-07,-34.15785198964067
Q,543,2.505657964335767e-07,34.0090609736889,3.0633329205357634e-09,0.29075180294078445,-1.356296413369996e-08,69.00503702736657,-2.505657964335767e-07,20.60098571506106,-3.0633329205357634e-09,-0.29075180294078445,-1.3700698859068327e-08,-9.339102126472696
Q,302,1.437622950108087e-06,-1.401373479880151e-08,72.87582329570681,2.1963042953809815,-166.36861344449713,-1.0370402587150847e-08,-1.437622950108087e-06,1.401373479880151e-08,-62.6163679032618,-2.1963042953809815,66.10439195726057,-1.0369924915075344e-08
Q,544,7.52254811306022e-14,-2.2749092810174863e-16,62.61636790326171,2.1963042953809815,-66.10439195726056,-2.3846737063114497e-16,-7.52254811306022e-14,2.2749092810174863e-16,-50.056090017126714,-2.1963042953809815,-61.77884778238028,-2.7793703615982435e-16
Q,545,1.951563910473908e-14,5.61193924385094e-17,11.941286154712095,-0.6575135687320411,60.45004721740625,1.0422631590014827e-16,-1.951563910473908e-14,-5.61193924385094e-17,9.893832985912908,0.6575135687320411,-64.28902190890473,1.0622140574426199e-16
Q,546,2.3969915895899474e-07,-4.6182917428159017e-10,-40.17536402720438,-1.1848412232433732,65.04127474149334,-8.65929655685583e-10,-2.3969915895899474e-07,4.6182917428159017e-10,62.01048316782938,1.1848412232433732,126.55718874919496,-8.6592974787038e-10
Q,547,-1.797743789770656e-07,1.9483408234189715e-10,56.988479705612775,2.568777952991864,-116.50077358433829,4.870851736276068e-10,1.797743789770656e-07,-1.9483408234189715e-10,-20.213542205612775,-2.568777952991864,-76.5042811937256,4.870852380818789e-10
Q,548,-1.9003606305766085e-07,5.43129385440558e-10,-20.12897675134275,-2.536082267300207,76.52079569133274,1.3578234890370826e-09,1.9003606305766085e-07,-5.43129385440558e-10,56.903914251342755,2.536082267300207,116.061431815381,1.357823438165707e-09
Q,549,1.9003618015149546e-07,-5.43129470273386e-10,58.793677443359556,2.5494419029704534,-112.4888016480677,-1.357823685346003e-09,-1.9003618015149546e-07,5.43129470273386e-10,-22.018739943359556,-2.5494419029704534,-89.54224181873015,-1.3578236660209273e-09
Q,550,4.357014160004691e-06,5.327263964934394e-09,-19.174062620418294,-2.5125223465479802,89.38886914449779,2.1458693736143065e-08,-4.357014160004691e-06,-5.327263964934394e-09,63.392860386043296,2.5125223465479802,139.73434219843313,8.107621269242816e-09
