kind,id,type,i,j,x_m,y_m,z_m,level,status
N,502001,NODE,,,,0.0,16.15,19.8,5,MANUAL
N,502101,NODE,,,,10.0,16.15,19.8,5,MANUAL
N,502201,NODE,,,,20.0,16.15,19.8,5,MANUAL
N,502301,NODE,,,,30.0,16.15,19.8,5,MANUAL
N,502401,NODE,,,,40.0,16.15,19.8,5,MANUAL
N,502451,NODE,,,,45.0,16.15,19.8,5,MANUAL
N,502501,NODE,,,,50.0,16.15,19.8,5,MANUAL
N,705001,NODE,,,,-20.8,16.15,19.8,5,MANUAL
N,705002,NODE,,,,-10.8,16.15,19.8,5,MANUAL
N,705003,NODE,,,,-0.8,16.15,19.8,5,MANUAL
N,705004,NODE,,,,-28.3,7.25,19.8,5,MANUAL
N,705005,NODE,,,,-20.8,7.25,19.8,5,MANUAL
N,705006,NODE,,,,-10.8,7.25,19.8,5,MANUAL
N,705007,NODE,,,,-20.8,0.0,19.8,5,MANUAL
N,705008,NODE,,,,-10.8,0.0,19.8,5,MANUAL
N,600001,NODE,,,,-32.05,-1.09,0.0,0,MANUAL_WALL_NODE
N,600002,NODE,,,,-32.05,-0.5070000000000001,3.96,1,MANUAL_WALL_NODE
N,600003,NODE,,,,-32.05,0.07599999999999985,7.92,2,MANUAL_WALL_NODE
N,600004,NODE,,,,-32.05,0.6589999999999998,11.88,3,MANUAL_WALL_NODE
N,600005,NODE,,,,-32.05,1.2419999999999998,15.84,4,MANUAL_WALL_NODE
N,600006,NODE,,,,-32.05,1.825,19.8,5,MANUAL_WALL_NODE
N,601001,NODE,,,,-32.05,0.0,0.0,0,MANUAL_WALL_NODE
N,601002,NODE,,,,-31.679999999999996,0.0,3.96,1,MANUAL_WALL_NODE
N,601003,NODE,,,,-31.31,0.0,7.92,2,MANUAL_WALL_NODE
N,601004,NODE,,,,-30.939999999999998,0.0,11.88,3,MANUAL_WALL_NODE
N,601005,NODE,,,,-30.57,0.0,15.84,4,MANUAL_WALL_NODE
N,601006,NODE,,,,-30.2,0.0,19.8,5,MANUAL_WALL_NODE
N,602001,NODE,,,,-32.05,14.325,0.0,0,MANUAL_WALL_NODE
N,602002,NODE,,,,-32.05,14.908999999999999,3.96,1,MANUAL_WALL_NODE
N,602003,NODE,,,,-32.05,15.493,7.92,2,MANUAL_WALL_NODE
N,602004,NODE,,,,-32.05,16.077,11.88,3,MANUAL_WALL_NODE
N,602005,NODE,,,,-32.05,16.661,15.84,4,MANUAL_WALL_NODE
N,602006,NODE,,,,-32.05,17.245,19.8,5,MANUAL_WALL_NODE
N,603001,NODE,,,,-32.05,16.15,0.0,0,MANUAL_WALL_NODE
N,603002,NODE,,,,-31.679999999999996,16.15,3.96,1,MANUAL_WALL_NODE
N,603003,NODE,,,,-31.31,16.15,7.92,2,MANUAL_WALL_NODE
N,603004,NODE,,,,-30.939999999999998,16.15,11.88,3,MANUAL_WALL_NODE
N,603005,NODE,,,,-30.57,16.15,15.84,4,MANUAL_WALL_NODE
N,603006,NODE,,,,-30.2,16.15,19.8,5,MANUAL_WALL_NODE
N,604001,NODE,,,,-0.575,-0.35,0.0,0,MANUAL_WALL_NODE
N,604002,NODE,,,,-0.575,1.2399999999999998,3.96,1,MANUAL_WALL_NODE
N,604003,NODE,,,,-0.575,2.829999999999999,7.92,2,MANUAL_WALL_NODE
