caso,bloque,z_m,cm_x_m,cm_y_m,fuerza_kN,ux_cm_m,uy_cm_m,rz_rad,ux_master_m,uy_master_m,master_x_m,master_y_m
EY,LT1,11.88,20.881144798066217,7.468772582357824,2465.011742753363,2.0182563198359413e-06,0.0016285030355387585,1.1807150427112158e-05,9.020317770562569e-05,0.00138195621781768,0.0,0.0
EY,LT2,11.88,-17.89378631441425,8.300052781071832,1640.2788115335272,2.1283498815111996e-07,0.0019361308698086603,1.2433308089600901e-11,2.1292999171447593e-07,0.001936130693800094,-32.05,0.6589999999999998
EY,LT1,15.84,23.810153513520955,7.538736994116187,2665.686332588125,-2.4964013696326398e-05,0.0024948101641210562,6.348192346311507e-10,-2.4959227961077708e-05,0.0024947950489776264,0.0,0.0
EY,LT2,15.84,-17.713412956672663,8.33120675955472,1653.3547151448129,-2.495905417073724e-05,0.0024947929925915476,1.1855639148939556e-10,-2.4958213699965307e-05,0.0024947912928975215,-32.05,1.2419999999999998
EY,LT1,19.8,24.81062267798547,7.029230343813884,2952.2666687993838,-3.823839787294161e-05,0.0037321812456597046,2.1378268604333832e-08,-3.808812509856983e-05,0.003731650837503854,0.0,0.0
EY,LT2,19.8,-18.231988668591963,8.262057924227996,1286.161795153294,-5.0452709386527084e-05,0.0026843084032876093,4.850784084005157e-11,-5.0452397138745816e-05,0.002684307733005715,-32.05,1.825
R,LT1,3.96,9.581286738801698,8.280217117998859,0.0,2.976297354705988e-11,8.228422696470088e-12,-4.5107658307349566e-13,2.6027961502366288e-11,1.2550316780056154e-11,0.0,0.0
R,LT2,3.96,-17.6408629658982,8.281091931580269,0.0,0.00032645811528394153,-0.0001399893616791163,1.5687454490841062e-11,0.0003264582451931943,-0.0001399895819174396,-31.679999999999996,0.0
R,LT1,7.92,21.47951562275455,7.880785872667446,0.0,0.0006358751818462771,-0.0001011377805442645,1.4719802798107328e-08,0.0006359911854602169,-0.0001014539547784303,0.0,0.0
R,LT2,7.92,-17.894092051651988,8.299402816317036,0.0,0.0011104145750785227,-0.00031130734804963694,-4.710013340176234e-12,0.0011104145363461857,-0.00031130728137512164,-32.05,0.07599999999999985
R,LT1,11.88,20.881144798066217,7.468772582357824,0.0,0.0021205605462050773,-0.0003703139357578371,-1.6379195657253107e-06,0.002108327297460481,-0.00033611230013834117,0.0,0.0
R,LT2,11.88,-17.89378631441425,8.300052781071832,0.0,0.0022853603985619423,-0.00044821724046826243,-1.9737532068476387e-11,0.002285360247746418,-0.00044821696105954085,-32.05,0.6589999999999998
R,LT1,15.84,23.810153513520955,7.538736994116187,0.0,0.003544283171467568,-0.0005297768537154022,-7.419163858012736e-11,0.0035442826121563176,-0.0005297750872010982,0.0,0.0
