caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,600005,-3.62456058769129e-12,8.847513334034127e-11,-0.001200956329078152,-0.0010528415894997612,-0.00013648522447784174,2.5415777120830493e-12
G,600006,6.004935619795748e-05,8.287405019851737e-06,-0.0005105523397456141,-9.830512789504934e-06,2.159506173631294e-05,-3.880945457528538e-13
G,601002,-1.057321863480278e-05,-1.0246461736308034e-05,-0.00020913501506339213,-5.1080395351634547e-05,0.00019751099910668115,-1.0583165632051833e-12
G,601003,-2.1782345313478847e-05,-1.9909426116163705e-05,-0.00045580766980174366,-0.00011417770486243574,0.00037357446124300207,-4.599046040631507e-12
G,601004,-2.4688769728505775e-05,-1.8188447276177554e-05,-0.0007380787237633035,-0.00018832515591268165,0.0005289214924536702,-8.006076001564e-12
G,601005,-4.679211041154461e-13,9.22366683654634e-11,-0.0010454548622541027,-0.000260421191197184,0.0006557176822886505,2.5415777037661215e-12
G,601006,6.0049355458960044e-05,8.287404678820555e-06,-0.000510552342235078,-9.830510330677657e-06,2.1595064506945245e-05,-3.8858136256974765e-13
G,602002,-1.057320285636118e-05,-1.0246461344730938e-05,-0.0009427826368312812,0.0010944083957772114,-3.4818706222422845e-05,-1.0583165375065267e-12
G,602003,-2.17822740604578e-05,-1.990942271286973e-05,-0.0005679439212295313,0.0006609751107242586,-6.3795885229899125e-06,-4.5990459960128844e-12
G,602004,-2.4688641015141512e-05,-1.8188438389438462e-05,-0.0004530261475283046,8.454408347759862e-05,8.580234944763694e-06,-8.006064363939954e-12
G,603002,-1.0573201542990618e-05,-1.0246461736308327e-05,-0.0002390971574615909,0.00010791266433773412,0.00026112335530215303,-1.0583165091736891e-12
G,603003,-2.1782271038884356e-05,-1.9909426116163712e-05,-0.0005322552233907764,0.0002165718266567752,0.0004897818775124798,-4.5990460395812765e-12
G,603004,-2.4688640430377734e-05,-1.8188447276177554e-05,-0.000878524737889755,0.00033473600698905655,0.0006931230444780992,-8.00607600072833e-12
G,603005,-4.151440108614407e-11,9.223666836840343e-11,-0.0012512954902814315,0.00045040712729054665,0.0008481345786712164,2.5415777015901166e-12
G,603006,6.0049361688316776e-05,8.287404314636635e-06,-0.0005563822807780138,9.738775855558146e-06,2.5253731120935397e-05,-3.87825322170482e-13
G,605005,-4.1533174312349695e-11,1.6996961349008098e-10,-0.000587250373404653,-3.624022516302568e-05,3.1948305487531357e-06,2.5416620293279587e-12
G,609002,4.751827139494696e-13,3.4024659518718364e-13,-0.00016421503145981462,-4.283972083113881e-06,-1.6067546714558812e-06,-6.6580925292235775e-15
G,612002,6.510715969557468e-13,3.3969779132346547e-13,-0.00025310098716102623,-7.383966984003699e-05,-4.918701284313532e-05,-6.5762825418807556e-15
G,612003,-2.3580673393005783e-05,1.6519725322536232e-06,-0.0008553381832867675,-8.492440849274031e-05,-8.210327064123757e-05,4.803419079631484e-10
G,612004,-1.5794313858708335e-05,-2.436113078543033e-05,-0.0010994937961072812,1.4205204065094936e-05,-7.443040320752484e-05,7.219164726820873e-07
G,612005,-6.360616786542668e-12,1.6808362974352794e-10,-0.0010626404200332377,2.9796344889055212e-05,-9.605734467786803e-05,-3.2547320392178108e-12
G,612006,9.900668770252227e-06,5.496160228993315e-05,-0.0011019948375642589,-4.396466320004619e-05,-9.90134782808153e-06,-7.31578665428643e-09
G,700001,1.5831260171801184e-13,1.3141807802544355e-14,-3.1529333330686255e-11,-9.504729481219523e-15,2.0088010517413843e-13,-1.336525540949943e-21
G,700002,-5.776547142225766e-14,9.067631311757817e-15,-3.1666068569152455e-11,-4.126808431384881e-15,-8.434295048299434e-14,-1.3365255407865397e-21
G,700003,-9.174886196493566e-15,2.9387595777696783e-13,-4.33822516695069e-12,2.7678026671638293e-14,-2.16739216689292e-14,-9.172592103901906e-17
G,700004,-4.2533958282024047e-13,-3.4293400578039884e-14,-3.492048281378292e-11,5.3109739323121955e-14,-5.695407831990493e-13,-1.3365255394090046e-21
G,700005,-1.2886953549033986e-13,-2.2363828298253646e-14,-3.92419809917961e-11,3.7362710038724515e-14,-1.782003219613519e-13,-1.3365255407991024e-21
G,700006,-7.199758815100074e-14,-1.9989010983314465e-14,-4.184364686736014e-11,3.422795929363885e-14,-1.0312935167284718e-13,-1.336525540785559e-21
G,700007,8.452869357331782e-14,-2.916158900310072e-14,-2.5046887483551462e-11,4.633575414818938e-14,1.0348533365047057e-13,-1.3365255406414939e-21
G,700008,-4.6196937240885516e-14,-3.412234326599205e-14,-2.557427943929248e-11,5.2883957856222576e-14,-6.907249846639982e-14,-1.3365255408176122e-21
G,701001,-1.0573201425291453e-05,-1.0246473224508485e-05,-0.0008429539990010854,1.0898413286596128e-05,-7.428718087307161e-05,-1.0583165664558565e-12
G,701002,-1.0573201610616424e-05,-1.024648380932025e-05,-0.0008466374790311958,9.124062216920075e-06,1.9817607130044234e-05,-1.0583165663264667e-12
