caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,402501,1.3880818094599763e-11,2.284475549967347e-12,-5.420067289838524e-12,-8.625077806390546e-14,-1.3254797815751926e-12,-1.6273706533248724e-12
G,500001,9.84762878796485e-06,5.496038179338359e-05,-0.0007395144766863468,-2.662121922585609e-05,-0.0001274662071513306,-7.315811745293081e-09
G,500101,9.847630411588897e-06,5.488722378541934e-05,-0.0020812496278301775,-5.652866242101991e-05,0.0004908182113751607,-7.315811736058334e-09
G,500201,9.847628759243595e-06,5.481406388939839e-05,-0.0032941747965678997,0.00044250409535292773,-2.4644037429107417e-05,-7.315811736058036e-09
G,500301,9.847628551249647e-06,5.474090574586539e-05,-0.0022964166007824007,0.0004455140668866243,-5.471283467308619e-05,-7.315811736057838e-09
G,500401,9.847627623248267e-06,5.466774938638023e-05,-0.0011625208024943852,-3.961328978841521e-05,-0.00040191009423605327,-7.3158117360579935e-09
G,500451,9.847628796869004e-06,5.463117029309213e-05,-0.0006975268155596123,-2.9651807952070314e-05,4.379884466180825e-05,-7.31581173605834e-09
G,500501,9.847628359046101e-06,5.4594591180894866e-05,-6.565090357459036e-05,-1.6587621183510726e-05,-0.00018182609993666377,-7.3158117360560695e-09
G,501001,9.900668513298997e-06,5.4960992066145835e-05,-0.0011019948233413808,-4.3964662911275665e-05,-9.901345572892258e-06,-7.315798942536531e-09
G,501101,9.900670093551738e-06,5.4887223658132465e-05,-0.0029333219770809296,-1.0845493280991429e-05,0.00044660726893747875,-7.315811736216127e-09
G,501201,9.900668182000647e-06,5.481406557628657e-05,-0.0031557783032088262,-2.9175927666472936e-05,-9.019453790672017e-05,-7.315811736058069e-09
G,501301,9.900668391941844e-06,5.4740907475511214e-05,-0.0022590678644253312,-3.437011641560249e-05,1.0382881935058934e-05,-7.315811736058385e-09
G,501401,9.900667048773944e-06,5.466774930750884e-05,-0.0017068722954204866,-1.2200821331612272e-05,-0.0003953548738290391,-7.315811736058291e-09
G,501451,9.900668413226954e-06,5.463117024161797e-05,-0.001034219410066218,-1.1436634494406866e-05,4.3296466497502174e-05,-7.315811736058125e-09
G,501501,9.900667773972747e-06,5.4594591165632654e-05,-0.00011026360637945155,-9.94072937159139e-06,-0.00027771090516289393,-7.31581173605626e-09
G,502001,9.965778585141834e-06,5.496038172579788e-05,-0.0008281024692391708,6.188998072071457e-06,-0.0004297638860075502,-7.3158117360813804e-09
G,502101,9.96578030128939e-06,5.4887223531311934e-05,-0.0018156648844604435,3.1268584322933334e-05,0.00038055244611085283,-7.315811736057777e-09
G,502201,9.965778989035541e-06,5.481406543537131e-05,-0.0023169853076252128,2.42247630128512e-05,-6.123946644557451e-05,-7.315811736058256e-09
G,502301,9.96577911055019e-06,5.474090731844171e-05,-0.001443280474701197,2.3449194085624913e-05,1.960702588549812e-06,-7.3158117360582045e-09
G,502401,9.9657781927156e-06,5.466774923008998e-05,-0.0010870213541161343,1.2155313080161993e-05,-0.0002733612548353794,-7.31581173605852e-09
G,502451,9.965779168020875e-06,5.463117019957203e-05,-0.0006657623040011361,1.867090453962423e-06,3.579457616901764e-05,-7.315811736057936e-09
G,502501,9.965778711875888e-06,5.4594591170512045e-05,-7.224769570940602e-05,-1.2065770719552065e-05,-0.00018475262199255893,-7.315811736056431e-09
G,600003,-2.178234496395139e-05,-1.990942271286938e-05,-0.00031091113139510295,-7.931688981094958e-05,-9.715165061635629e-06,-4.599046114920443e-12
G,600004,-2.4688764452501783e-05,-1.8188438389433027e-05,-0.0006283150258645473,-0.0006243456401004366,-8.242623657096869e-05,-8.006076058680863e-12
