caso,elemento,Ni_kN,Vyi_kN,Vzi_kN,Ti_kNm,Myi_kNm,Mzi_kNm,Nj_kN,Vyj_kN,Vzj_kN,Tj_kNm,Myj_kNm,Mzj_kNm
G,57,1734.5037587137242,89.45927930261954,-9.180202571599219,-0.07480652690020909,20.291102174725115,176.6574493859345,-1734.5037587137242,-89.45927930261954,9.180202571599219,0.07480652690020909,16.062500008807802,177.60129665243892
G,58,1835.9893602058278,-11.567850569315645,-5.620329318368648,-0.07480652690020907,11.698972921871114,-25.357538134757473,-1835.9893602058278,11.567850569315645,5.620329318368648,0.07480652690020907,10.557531178868736,-20.451150119732496
G,59,1878.8240653480104,-9.802739389942788,-4.765827701459336,-0.07480652694472327,8.58737720248427,-23.935225972102867,-1878.8240653480104,9.802739389942788,4.765827701459336,0.07480652694472327,10.285300495294702,-14.88362201207058
G,60,1331.3754963131248,-51.0619782909585,-2.663500295813974,-0.0748065273424541,3.0963952542444537,-95.75929763760345,-1331.3754963131248,51.0619782909585,2.663500295813974,0.0748065273424541,7.4510659171788864,-106.44613639459222
G,61,1496.1032181507114,-7.860221973247871,-3.892540862270141,-0.07480652693178583,7.351796223997502,-8.66206494952441,-1496.1032181507114,7.860221973247871,3.892540862270141,0.07480652693178583,8.062665590592259,-22.464414064537163
G,62,1820.9914803503614,-23.125276909929113,-5.97929418100433,2.7916069014643504e-07,11.877860225570384,-48.11008475739074,-1820.9914803503614,23.125276909929113,5.97929418100433,-2.7916069014643504e-07,11.800144731206768,-43.46601180592856
G,63,1860.3393891568744,13.790784799977143,-5.602523073991597,2.791606901525997e-07,11.148950515973175,25.259361400783014,-1860.3393891568744,-13.790784799977143,5.602523073991597,-2.791606901525997e-07,11.037040857033553,29.352146407126476
G,64,502.3000533455493,2.5388405096148334,2.304556332429424,2.7906006276752543e-07,-2.9381938256083084,-1.6939643598419032,-502.3000533455493,-2.5388405096148334,-2.304556332429424,-2.7906006276752543e-07,-6.18784925081221,11.747772777916644
G,65,2004.4535163706068,72.8137142165809,7.602477246248464,2.7916069016039075e-07,-13.252551566873136,140.17072268002963,-2004.4535163706068,-72.8137142165809,-7.602477246248464,-2.7916069016039075e-07,-16.853258328270787,148.1715856176308
G,66,2298.545878647915,22.458301256001224,4.447671550727637,2.791606901346949e-07,-7.786545114139125,43.099253103895705,-2298.545878647915,-22.458301256001224,-4.447671550727637,-2.791606901346949e-07,-9.826234226742319,45.835619869869156
G,67,2439.4505974093377,2.5957821433241843,4.25247890529795,2.7916069014949224e-07,-7.39023963019519,4.599485461150056,-2439.4505974093377,-2.5957821433241843,-4.25247890529795,-2.7916069014949224e-07,-9.449576834784697,5.679811826413715
G,68,1455.1128849125437,-11.823537843178869,9.003100485154846,2.7916069012581894e-07,-16.070306971429453,-25.799349962002246,-1455.1128849125437,11.823537843178869,-9.003100485154846,-2.7916069012581894e-07,-19.58197094978375,-21.021859896986083
G,69,1503.1098052571174,2.408056372890982,10.302651896079821,2.791606901340939e-07,-18.56357428363846,4.201572938592792,-1503.1098052571174,-2.408056372890982,-10.302651896079821,-2.791606901340939e-07,-22.23492722483764,5.334330298055498
G,70,190.69217996104183,-10.429698214500565,-3.4477578163891986,0.07473651507315188,3.983277559730438,-32.22109778516261,-190.69217996104183,10.429698214500565,3.4477578163891986,-0.07473651507315188,9.669843393170785,-9.080507144259615
G,71,1277.2906669906793,91.20424467196973,-60.04006406017948,0.07473651479094626,161.92881675841232,173.48403747729583,-1277.2906669906793,-91.20424467196973,60.04006406017948,-0.07473651479094626,75.82983691989836,187.68477142370423
G,72,1859.0899344071217,-12.639755273929596,-76.07919911480538,0.07473651479094758,121.64737039043618,-38.68678753169305,-1859.0899344071217,12.639755273929596,76.07919911480538,-0.07473651479094758,179.626258104193,-11.366643353068143
G,73,1877.425558283514,-39.493646793810164,-71.19518335742893,0.07473651479094683,105.7722415060148,-91.40000556645393,-1877.425558283514,39.493646793810164,71.19518335742893,-0.07473651479094683,176.16068458940373,-64.99483573703425
G,74,942.9475236131573,-55.26645711609302,5.887389298465477,0.07473651479094695,-11.706786388119454,-110.34130105194319,-942.9475236131573,55.26645711609302,-5.887389298465477,-0.07473651479094695,-11.60727523380383,-108.51386912778511
G,75,1222.0515058825977,71.79743643109397,4.091837982238309,0.07473651479094692,-7.024975429350692,77.90010393736787,-1222.0515058825977,-71.79743643109397,-4.091837982238309,-0.07473651479094692,-9.178702980313005,206.41774432976413
G,76,600.9814663396918,-21.657794828293145,-2.303831804302135,0.074736514790883,5.200956008688778,-47.54468740411083,-600.9814663396918,21.657794828293145,2.303831804302135,-0.074736514790883,3.9222179363476743,-38.22018011592999
G,77,1538.7850869605318,110.88267455656867,2.1190519424153647,0.074736514790947,-5.557652615504651,207.563446909182,-1538.7850869605318,-110.88267455656867,-2.1190519424153647,-0.074736514790947,-2.8337930764601906,231.5319443348298
G,78,1663.5635847273065,-15.98100919024062,-3.644115369955537,0.07473651479094692,9.308980178431165,-39.12065741918178,-1663.5635847273065,15.98100919024062,3.644115369955537,-0.07473651479094692,5.121716686592758,-24.164138974171053
G,79,1671.32487867139,-8.605061734007053,-2.2839019035330077,0.07473651479094698,6.851440454307818,-16.949021754771813,-1671.32487867139,8.605061734007053,2.2839019035330077,-0.07473651479094698,2.1928110836828894,-17.127022711896114
G,80,1139.2122992127072,-95.73408292455527,0.49238618446554444,0.07473651479094691,0.021092385646165557,-185.38264315237095,-1139.2122992127072,95.73408292455527,-0.49238618446554444,-0.07473651479094691,-1.970941676129721,-193.72432522886783
G,81,1692.5331324539363,96.03311569149948,0.040399065902218596,0.07473651479094695,0.9675774176554621,101.47128107969505,-1692.5331324539363,-96.03311569149948,-0.040399065902218596,-0.07473651479094695,-1.1275577186282477,278.81985705864275
G,82,-47.28525778707303,-23.012099989632333,-4.587125516333967,0.07473651479094617,10.511633048987678,-113.64817556450109,47.28525778707303,23.012099989632333,4.587125516333967,-0.07473651479094617,7.653383995694826,22.520259605557072
G,83,1154.6552508830873,68.22468616293084,-8.224813941942832,0.07473651479094696,18.347142589974922,141.94856852634132,-1154.6552508830873,-68.22468616293084,8.224813941942832,-0.07473651479094696,14.223120620118687,128.22118867886473
G,84,1217.8539770173584,-10.863960244250679,-6.014795918478392,0.07473651479094695,13.717661188530439,-27.145080182619118,-1217.8539770173584,10.863960244250679,6.014795918478392,-0.07473651479094695,10.100930648643988,-15.876202384613553
G,85,1246.7747170026464,-10.593558189166822,-5.71611345717887,0.07473651479094696,13.272790319492927,-23.550571104090324,-1246.7747170026464,10.593558189166822,5.71611345717887,-0.07473651479094696,9.363018970935393,-18.39991932501028
