losa_id,area_neta_m2,espesor_m,densidad_kg_m3,masa_propia_kg,peso_propio_kN,G_losa_kN,adicional_G_kN,Q_losa_kN
1000294,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.220649625
1000295,0.85,0.15,2500.0,318.75,3.1258696874999994,5.293139,2.1672693125000007,2.0839127
1000296,0.05,0.15,2500.0,18.75,0.1838746875,0.311361,0.1274863125,0.1225831
1000297,0.675,0.15,2500.0,253.12500000000003,2.4823082812500004,4.203375,1.72106671875,1.65487185
1000298,0.025,0.15,2500.0,9.375,0.09193734375,0.155681,0.06374365625000002,0.06129155
1000299,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.18387464999999997
1000300,0.75,0.15,2500.0,281.25,2.7581203124999996,4.670417,1.9122966875,1.8387464999999998
1000301,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.3530394
1000302,0.909,0.15,2500.0,340.875,3.3428418187499997,5.660545,2.31770318125,3.56569794
1000303,0.252,0.15,2500.0,94.5,0.9267284249999999,1.56926,0.6425315750000002,0.98851032
1000304,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.18387464999999997
1000305,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.2941995
1000306,1.425,0.15,2500.0,534.375,5.24042859375,8.873792,3.63336340625,5.5897905
1000307,0.747,0.15,2500.0,280.125,2.74708783125,4.651735,1.9046471687500004,2.9302270200000002
1000308,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.3530394
1000309,0.909,0.15,2500.0,340.875,3.3428418187499997,5.660545,2.31770318125,3.56569794
1000310,0.252,0.15,2500.0,94.5,0.9267284249999999,1.56926,0.6425315750000002,0.98851032
1000311,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.2941995
1000312,0.5525,0.15,2500.0,207.18749999999997,2.0318152968749996,3.440541,1.4087257031250005,2.16726965
1000313,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,4.903325
1000314,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,4.903325
1000315,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,4.903325
1000316,1.175,0.15,2500.0,440.625,4.32105515625,7.316987,2.99593184375,4.6091255
1000317,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000318,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000319,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000320,0.7215,0.15,2500.0,270.5625,2.653311740625,4.492941,1.839629259375,3.5377489875
1000321,0.558,0.15,2500.0,209.25000000000003,2.0520415124999998,3.47479,1.4227484875000003,2.73605535
1000322,0.045,0.15,2500.0,16.875,0.16548721874999997,0.280225,0.11473778125000003,0.220649625
1000323,0.7605,0.15,2500.0,285.18749999999994,2.796733996874999,4.735803,1.9390690031250006,3.7289786624999994
1000324,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.44129925
1000325,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.44129925
1000326,0.735,0.15,2500.0,275.625,2.7029579062499995,4.577009,1.8740510937500008,3.6039438749999997
1000327,0.045,0.15,2500.0,16.875,0.16548721874999997,0.280225,0.11473778125000003,0.132389775
1000328,0.5145,0.15,2500.0,192.93749999999997,1.8920705343749997,3.203906,1.3118354656250002,1.5136564274999997
1000329,0.006,0.15,2500.0,2.25,0.0220649625,0.037363,0.0152980375,0.01765197
1000330,0.0795,0.15,2500.0,29.8125,0.292360753125,0.495064,0.20270324687500002,0.2338886025
1000331,0.03,0.15,2500.0,11.25,0.1103248125,0.186817,0.07649218750000002,0.08825985
1000332,0.171,0.15,2500.0,64.125,0.62885143125,1.064855,0.4360035687500001,0.503081145
1000333,0.909,0.15,2500.0,340.875,3.3428418187499997,5.660545,2.31770318125,2.674273455
1000334,0.09,0.15,2500.0,33.75,0.33097443749999994,0.56045,0.22947556250000006,0.26477955
1000335,0.336,0.15,2500.0,126.0,1.2356379,2.092347,0.8567091000000002,0.6590068800000001
1000336,0.1,0.15,2500.0,37.5,0.367749375,0.622722,0.254972625,0.196133
1000337,0.962,0.15,2500.0,360.74999999999994,3.537748987499999,5.990588,2.4528390125000006,1.88679946
1000338,0.744,0.15,2500.0,279.0,2.7360553499999996,4.633054,1.89699865,1.45922952
1000339,0.06,0.15,2500.0,22.5,0.220649625,0.373633,0.152983375,0.1176798
1000340,1.014,0.15,2500.0,380.24999999999994,3.7289786624999994,6.314404,2.5854253375000003,1.98878862
1000341,0.12,0.15,2500.0,45.0,0.44129925,0.747267,0.30596775000000004,0.2353596
1000342,0.12,0.15,2500.0,45.0,0.44129925,0.747267,0.30596775000000004,0.2353596
1000343,0.98,0.15,2500.0,367.5,3.603943875,6.102678,2.498734125,1.9221034
1000344,0.06,0.15,2500.0,22.5,0.220649625,0.373633,0.152983375,0.1176798
1000345,0.686,0.15,2500.0,257.25,2.5227607125,4.271875,1.7491142874999999,1.3454723800000001
1000346,0.008,0.15,2500.0,2.9999999999999996,0.029419949999999993,0.049818,0.020398050000000008,0.01569064
1000347,0.106,0.15,2500.0,39.74999999999999,0.3898143374999999,0.660086,0.27027166250000006,0.20790097999999999
1000348,0.04,0.15,2500.0,15.0,0.14709975,0.249089,0.10198925,0.0784532
1000349,0.228,0.15,2500.0,85.5,0.8384685749999999,1.419807,0.5813384250000001,0.44718324000000004
1000350,1.212,0.15,2500.0,454.5,4.457122425,7.547394,3.090271575,2.37713196
1000351,0.12,0.15,2500.0,45.0,0.44129925,0.747267,0.30596775000000004,0.2353596
1000352,0.335916,0.15,2500.0,125.96849999999999,1.2353289905249998,2.091824,0.8564950094750001,0.65884212828
1000353,0.099975,0.15,2500.0,37.490625,0.36765743765625003,0.622567,0.25490956234374995,0.19608396674999998
1000354,0.375025,0.15,2500.0,140.634375,1.3791520935937498,2.335364,0.9562119064062504,1.8388694581249998
1000355,0.4625,0.15,2500.0,173.43750000000003,1.7008408593750002,2.880091,1.179250140625,2.2677878125
1000356,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000357,0.8625,0.15,2500.0,323.4375,3.171838359375,5.37098,2.199141640625,4.2291178125
1000358,0.9375,0.15,2500.0,351.5625,3.447650390625,5.838021,2.3903706093750006,4.5968671875
1000359,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000360,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000361,1.25,0.15,2500.0,468.75,4.5968671875,7.784028,3.1871608125,6.129156249999999
1000362,0.645,0.15,2500.0,241.875,2.37198346875,4.016559,1.6445755312500001,3.162644625
1000363,0.605,0.15,2500.0,226.875,2.2248837187499997,3.76747,1.5425862812500002,2.966511625
1000364,0.082075,0.15,2500.0,30.778125,0.30183029953124996,0.511099,0.20926870046875,0.402440399375
1000365,0.005425,0.15,2500.0,2.0343750000000003,0.01995040359375,0.033783,0.013832596406250001,0.026600538125
1000366,0.0625,0.15,2500.0,23.4375,0.22984335937499997,0.389201,0.15935764062500005,0.153228875
1000367,0.60125,0.15,2500.0,225.46874999999997,2.2110931171874997,3.744118,1.5330248828125002,1.4740617774999998
1000368,0.465,0.15,2500.0,174.37500000000003,1.71003459375,2.895659,1.18562440625,1.14002283
1000369,0.0375,0.15,2500.0,14.0625,0.137906015625,0.233521,0.09561498437500002,0.09193732499999999
1000370,0.63375,0.15,2500.0,237.65625000000003,2.3306116640625,3.946502,1.6158903359375003,1.5537407925
1000371,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.18387464999999997
1000372,0.075,0.15,2500.0,28.125,0.27581203125,0.467042,0.19122996875000003,0.367749375
1000373,0.6125,0.15,2500.0,229.6875,2.252464921875,3.814174,1.5617090781249998,3.0032865625
1000374,0.0375,0.15,2500.0,14.0625,0.137906015625,0.233521,0.09561498437500002,0.1838746875
1000375,0.42875,0.15,2500.0,160.78125,1.5767254453125,2.669922,1.0931965546875002,2.10230059375
