caso,panel_id,source_wall_id,floor,z_cut_m,P_compresion_kN,M_principal_kNm,V_en_plano_kN,V_fuera_plano_kN,M_vertical_kNm,shells_corte,terminos_nodales
Q,1003,10,3,7.92,185.39345225407422,-37.211886247183145,-16.838507515097596,6.25611073336308,5.030872163303002e-08,3,6
Q,1004,10,4,11.88,43.12826756802261,-76.0046497888756,-35.04482656114405,-8.049550636354375,-2.938008716313334e-07,3,6
Q,1005,10,5,15.84,-24.93198957678993,-448.8893394679288,-132.24026927086587,-0.050303251690691025,0.009015932744156602,3,6
Q,1101,11,1,0.0,155.78504379282515,0.2677137057512624,0.2028128909830187,4.475727966943346,-2.266102638870393e-08,1,2
Q,1102,11,2,3.96,126.72995995450096,1.3020270058219126,0.6145067961492359,5.057463206495207,-2.4918578311883266e-08,1,2
Q,1103,11,3,7.92,94.0906615817758,3.8571600952311655,2.4196758035096853,6.508151012673913,6.4538223654153626e-09,1,2
Q,1104,11,4,11.88,21.888406691843272,-22.24357778836579,-11.11759345556248,4.603612911980007,-2.3328246001597108e-08,1,2
Q,1105,11,5,15.84,3.730349362740526e-14,-31.136549225382453,-7.8627649559046695,0.2856081238476452,0.00013336835888569376,1,2
Q,1201,12,1,0.0,155.7850453668435,0.26771441607574786,0.2028138070414407,4.475727868358101,-6.033784938352937e-08,1,2
Q,1202,12,2,3.96,126.72995866988344,1.3020293557240592,0.6145074609597003,5.057463308363239,1.2398752247122502e-08,1,2
Q,1203,12,3,7.92,94.09066188131999,3.857160275753813,2.4196759651036945,6.508151059734475,2.3225214196287425e-08,1,2
Q,1204,12,4,11.88,21.88840774477176,-22.243577448502375,-11.117593236404492,4.603613139468875,6.176470934704525e-08,1,2
Q,1205,12,5,15.84,24.931989576790073,-24.158652470495873,0.9809427399449051,4.361578150371751,4.364347112935426,1,2
Q,1301,13,1,0.0,334.6493670814142,0.5750779331454225,0.4356735419686366,9.614530160924113,3.820331863302329e-06,4,8
Q,1302,13,2,3.96,272.2347299094485,2.7969634653264137,1.320057094083797,10.86418834486747,7.145136367903149e-06,4,8
Q,1303,13,3,7.92,202.12069041298628,8.285737729634619,5.197829173721107,13.980478982210554,5.292609910334534e-06,4,8
Q,1304,13,4,11.88,401.72650404468976,-410.1664142352717,80.08518261055622,63.69174259334493,82.5846048599676,4,8
Q,1305,13,5,15.84,169.37328298422568,216.14349205415806,189.005983559713,48.50688774944224,177.39068063562502,4,8
Q,1401,14,1,0.0,156.93901111223587,-3.5710335129529085,-2.7053286986855944,0.3405279529177694,1.3984566782365704e-08,2,4
Q,1402,14,2,3.96,127.66869933174564,-1.9563300534902197,-0.7222921688894193,0.6911351177322799,-2.867452630894718e-08,2,4
Q,1403,14,3,7.92,94.78762995255978,-19.025625394419116,-8.609161570143074,3.198612999205765,9.6107868330364e-09,2,4
Q,1404,14,4,11.88,22.05054268451257,-38.85951902706922,-17.91765621860694,-4.115559950953042,-2.1905620206652543e-08,2,4
Q,1405,14,5,15.84,-5.862042671223072,-172.80989507491893,-61.5655631181903,-0.6345063428208405,-1.484204355616302,2,4
Q,1501,15,1,0.0,91.16310228270808,0.15665902670271947,0.11868249952900456,2.619129777371806,2.7620417064611047e-09,1,2
Q,1502,15,2,3.96,74.16049410809461,0.761928613967541,0.3596007886645971,2.9595529516653136,-9.638950970725091e-09,1,2
Q,1503,15,3,7.92,55.06046141751414,2.257153147758494,1.4159585449299055,3.808473729906945,-1.0414046514028996e-08,1,2
Q,1504,15,4,11.88,12.80877040704029,-13.016611601996278,-6.505850678633412,2.693966550218442,-2.9116528743600156e-08,1,2
Q,1505,15,5,15.84,-20.84590137376339,-9.645944522840358,1.6540966344644028,2.5035304417369497,-1.7590858953208326,1,2
Q,1601,16,1,0.0,91.16310222787946,0.15665927705604332,0.1186826510880934,2.619129702256739,2.254233177900744e-08,1,2
Q,1602,16,2,3.96,74.16049417106677,0.7619286445262716,0.3596007797341869,2.9595529265940352,-3.036821905055831e-09,1,2
Q,1603,16,3,7.92,55.06046166945051,2.25715312866123,1.4159584328608688,3.8084736873015803,8.053762101667417e-10,1,2
Q,1604,16,4,11.88,12.808771633227757,-13.01661290768486,-6.5058514643495355,2.6939665101990693,-1.8598361961608134e-08,1,2
Q,1605,16,5,15.84,26.707944044986313,-22.562205899795696,-10.652422134621279,2.684786866227999,-1.8926475659687436,1,2
Q,1701,17,1,0.0,129.24388710912154,-2.940851238770094,-2.2279173028772483,0.28043492457195224,3.543536786221324e-08,1,2
Q,1801,18,1,0.0,139.93957984087075,80.17894776540398,-70.60976084396772,2.3998498775844315,-5.888480943729951,2,4
Q,1901,19,1,0.0,200.01684779240998,-27.385602845682897,75.72437003389526,-0.48341787577696244,-0.9041044474998027,2,4
Q,2001,20,1,0.0,550.9765179797954,-312.6721556600859,23.451979577514543,15.454646225136875,52.290381952673286,8,16
Q,2101,21,1,0.0,365.4421226392206,-465.50786650666475,58.103550692572604,2.33610270059176,11.163559694539948,5,10
Q,2201,22,1,0.0,218.59267916416673,-426.780328012602,32.20388886782482,12.386114808472131,89.59429391941215,8,16
Q,2302,23,2,3.96,427.1108404137364,583.765774293553,-61.318671799227026,-38.28430000818399,87.3116195588262,8,16
Q,2402,24,2,3.96,373.40946165670334,-147.78431186717103,18.843467807852825,34.856302869548756,29.469331973067966,8,16
EX,101,1,1,0.0,-25.849949695141856,0.08695353760367297,0.06590857286253593,-280.096219627613,9.140420900166646e-07,1,2
EX,102,1,2,3.96,-23.763429657854388,-1.3184573582090167,-0.7098059554798732,499.8071091101176,-6.886689902785292e-07,1,2
EX,103,1,3,7.92,-15.586187180256381,1.383083536335075,0.8205659628695319,479.1110466132922,-2.8734689294651616e-08,1,2
EX,104,1,4,11.88,-8.391403482647556,-11.790704363917307,-5.682882161992795,341.35786077653324,-1.6090899634946254e-07,1,2
EX,105,1,5,15.84,-3.3748864231501763,-11.553627354334516,-6.02025447311446,228.99227572194553,-8.668396816347013e-06,1,2
EX,201,2,1,0.0,-8.202802763495605,70.39380888215442,53.328712573994814,0.03487970863110289,8.877858478570366e-08,1,2
EX,202,2,2,3.96,-7.540692539688621,-1681.6455145357727,-767.238081193842,-0.15009570778054254,-6.687833556395795e-08,1,2
EX,203,2,3,7.92,-4.945874443612411,-2006.9714050450057,-1034.1883490060072,0.24802244725094996,-7.989419403831022e-10,1,2
EX,204,2,4,11.88,-2.6628046237742637,-1474.9995190035836,-768.7895356182783,-0.7526464234603021,-1.2164100893219398e-08,1,2
EX,205,2,5,15.84,-1.0709374568217527,-855.2711762123859,-463.96762424768093,-0.7412660447252063,-7.251798889718053e-07,1,2
EX,301,3,1,0.0,-24.91685996560534,0.17508268947073802,0.13267314753749204,-280.50303701502025,9.183376050714287e-07,1,2
EX,302,3,2,3.96,-22.8852917868108,-1.3118687211081266,-0.7709703491563653,500.2068017916826,-6.919051429576939e-07,1,2
EX,303,3,3,7.92,-14.9098782382894,1.1293951732941707,0.7545864870133925,479.23065549864657,-2.8870260848634643e-08,1,2
EX,304,3,4,11.88,-7.899656750641614,-11.770566525485668,-5.721263981384237,341.53454749279945,-1.6166495697689243e-07,1,2
EX,305,3,5,15.84,-3.090634825702168,-11.228793044670928,-5.681633846685264,229.01829145118705,-7.060496187705212e-06,1,2
EX,401,4,1,0.0,-7.893171975424643,70.3753007776056,53.314703981728414,0.07006958745505609,8.877952444724668e-08,1,2
EX,402,4,2,3.96,-7.249603213561045,-1681.5491346441572,-767.1510924981615,-0.1817457521216996,-6.675152505741799e-08,1,2
EX,403,4,3,7.92,-4.723163813332349,-2006.6619725333794,-1034.054883587531,0.21244428002730736,-5.481087944625429e-10,1,2
EX,404,4,4,11.88,-2.5024691273044937,-1474.8540245990425,-768.7118266902826,-0.7677643495324664,-1.2443279628904236e-08,1,2
EX,405,4,5,15.84,-0.9790570634590949,-855.119304339672,-463.8978303462835,-0.5570319699731259,-6.988756945935926e-07,1,2
EX,501,5,1,0.0,-12.938745223718383,0.04064019929553275,0.030739128809959326,-353.80304626600014,1.0061761912538714e-05,4,8
EX,502,5,2,3.96,-21.03309419806605,-1.2113652438858704,-0.5448628131526857,824.3080339932138,-7.598717843393388e-06,4,8
EX,503,5,3,7.92,2.6532780864974024,1.0766047770671778,0.2512008263556394,1027.4126123541012,-2.9511284083127975e-07,4,8
EX,504,5,4,11.88,12.18106214972206,-12.63584650679137,-4.89255864822773,671.9570178471286,-1.7713884403747215e-06,4,8
EX,505,5,5,15.84,4.440892098500626e-16,-14.93290217137056,-3.770934891760241,-0.5045514854728932,-9.828338535244896e-07,4,8
EX,601,6,1,0.0,-11.750878340131393,0.16008823618152412,0.06257905404392194,-64.55578782654715,-110.54243504182388,3,6
EX,602,6,2,3.96,-11.57592274239663,-0.642803179636867,-0.883423828738538,51.411061486609206,95.19965891142677,3,6
EX,603,6,3,7.92,-11.260364810168612,1.8550152825755912,-0.005176533864108768,-33.44317054779788,-80.38927557873482,3,6
EX,604,6,4,11.88,-8.170477316053454,-7.929066979219478,-8.559884570413795,42.97974918083901,132.90673024632366,3,6
EX,705,7,5,15.84,245.17792692482178,-332.6899922606464,112.88204449445053,18.766988896768368,61.875532774545924,3,6
EX,801,8,1,0.0,-5.165720230788544,-111.87304685103837,-84.75241844736217,-0.020414259435918233,3.4018728113476004e-07,1,2
EX,802,8,2,3.96,-8.397343878557763,2474.12665627388,1158.3498923807565,0.04038141899059598,-2.640576673429429e-07,1,2
EX,803,8,3,7.92,1.0593073788134006,3114.428208346895,1594.3034809907717,0.09870955181297267,2.092444009726968e-09,1,2
EX,804,8,4,11.88,4.863189206804236,2259.0976877782873,1167.2046927873803,0.0345288541506617,-4.727261959311391e-08,1,2
EX,805,8,5,15.84,5.961204930622102,1170.4530534365886,441.1663507068142,-4.244868288311676,16.549988282950693,1,2
EX,901,9,1,0.0,-4.793046053958787,0.015047207770595872,0.011377761646426898,-131.06287876488597,3.1273878562387836e-06,1,2
EX,902,9,2,3.96,-7.791527268115603,-0.44876048059685125,-0.20185893808351807,305.3568978171543,9.510075869911816e-06,1,2
EX,903,9,3,7.92,0.9828810522883966,0.39875692252253403,0.09302414231547558,380.5950232245284,1.342364782885852e-05,1,2
EX,904,9,4,11.88,4.512363336485498,-4.680886952784855,-1.8124255094396418,248.91995225077824,9.81964890911513e-06,1,2
EX,905,9,5,15.84,-251.13913185544465,-42.12007327928234,-101.8229335952541,20.78346478827649,30.264284167953583,1,2
EX,1002,10,2,3.96,-14.074988222881757,-4146.929561327223,-1941.531746482085,-0.06768838439065204,-4.14902072360529e-06,3,6
EX,1003,10,3,7.92,1.7755257408996385,-5220.151025052573,-2672.241704867318,-0.16544257004574386,6.330031576365358e-06,3,6
EX,1004,10,4,11.88,8.151348704498673,-3786.515641205993,-1956.373450594823,-0.057874184604485346,2.5800512919865737e-07,3,6
EX,1005,10,5,15.84,-291.3051131560203,-4075.1880210059667,-1258.511800321776,3.9121147433422365,13.514699796587571,3,6
EX,1101,11,1,0.0,-4.394291471564794,0.013796040611492977,0.01043628734852231,-120.1595358472505,1.5522557248459634e-06,1,2
EX,1102,11,2,3.96,-7.14331361767851,-0.4114167115313574,-0.18505208882201152,279.95368158763415,6.346341194785055e-07,1,2
EX,1103,11,3,7.92,0.901113350822472,0.36565210710903356,0.08531992190345672,348.93261471375814,5.106228115892009e-07,1,2
EX,1104,11,4,11.88,4.136964548701873,-4.29141820221941,-1.6616225004326144,228.2118265059365,1.9571587017708225e-08,1,2
EX,1105,11,5,15.84,0.0,-77.49352407351641,-19.569071735736472,0.6328839085102024,-0.00014434161136459012,1,2
EX,1201,12,1,0.0,-4.394281720843281,0.013800756935293368,0.010442117194970235,-120.15953432694934,2.1197948854023707e-06,1,2
EX,1202,12,2,3.96,-7.143299713456945,-0.4113937401928558,-0.18503594905642284,279.95369286810694,4.784511475008912e-06,1,2
