wall_id,segmento,z_min_m,z_max_m,identificacion_plano,confianza,length_m,thickness_m,vertical_diameter_mm,vertical_spacing_mm,horizontal_diameter_mm,horizontal_spacing_mm,boundary_bars_each_end,boundary_diameter_mm,boundary_bars_left,boundary_diameter_left_mm,boundary_bars_right,boundary_diameter_right_mm,As_m2,punto,ramal,P_kN,M_kNm,c_m
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,A,+principal,43122.90877556382,0.0,
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,A,-principal,43122.90877556382,-0.0,
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,B,+principal,42816.43564780564,13089.67658214418,2.915
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,B,-principal,42816.43564780564,-13089.67658214418,2.915
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,C,+principal,24730.272539716643,20861.92091334656,1.719
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,C,-principal,24730.272539716643,-20861.92091334656,1.719
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,D,+principal,20438.829464469793,20125.294372679935,1.4325
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,D,-principal,20438.829464469793,-20125.294372679935,1.4325
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,E,+principal,15072.43972350886,17794.967415029823,1.074375
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,E,-principal,15072.43972350886,-17794.967415029823,1.074375
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,F,+principal,0.0,2854.382027594047,0.0809538141718229
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,F,-principal,0.0,-2854.382027594047,0.0809538141718229
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,G,+principal,-2013.50956353877,0.0,0.0
1,4,11.88,19.8,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,G,-principal,-2013.50956353877,-0.0,0.0
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,A,+principal,15068.606709350575,0.0,
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,A,-principal,15068.606709350575,-0.0,
2,1,0.0,3.96,M-LT2-1-A',alta,1.8499999999999979,0.3,12,200,12,100,3,28,3,28,3,28,0.005956459671206248,B,+principal,14642.79911288369,3270.9155456364733,1.8499999999999979
