M_kNm,P_kN,caso,cumple,elemento,extremo,muro_origen,piso,tipo
1.3830903567022688,-15.586186332481908,EX,True,103,,1,3,MURO
-11.790698089314281,-8.391402190193517,EX,True,104,,1,4,MURO
-11.553626401612554,-3.3748857986887497,EX,True,105,,1,5,MURO
70.39382989652609,-8.202803282826885,EX,True,201,,2,1,MURO
-1681.6459902667793,-7.540692874797628,EX,True,202,,2,2,MURO
-2006.9718094639534,-4.945874174597293,EX,True,203,,2,3,MURO
-1474.999415736516,-2.6628042136530894,EX,True,204,,2,4,MURO
-855.2709695529815,-1.070937258658887,EX,True,205,,2,5,MURO
0.17508254691910707,-24.91686197054765,EX,True,301,,3,1,MURO
-1.3118644984331738,-22.885293458361396,EX,True,302,,3,2,MURO
1.129401863963368,-14.90987765223823,EX,True,303,,3,3,MURO
-11.770560203239874,-7.899655210299626,EX,True,304,,3,4,MURO
-11.228792018252456,-3.090634166861833,EX,True,305,,3,5,MURO
70.37532045276554,-7.893172610548618,EX,True,401,,4,1,MURO
-1681.5496097017894,-7.249603743071702,EX,True,402,,4,2,MURO
-2006.6623731056911,-4.7231636276871996,EX,True,403,,4,3,MURO
-1474.8539255859869,-2.502468639359222,EX,True,404,,4,4,MURO
-855.1190959075464,-0.9790568547549583,EX,True,405,,4,5,MURO
0.040640002810002684,-12.938748743732667,EX,True,501,,5,1,MURO
-1.2113604377202218,-21.033099392807674,EX,True,502,,5,2,MURO
1.0766122788100438,2.6532824994106723,EX,True,503,,5,3,MURO
-12.635839410072162,12.181061448291628,EX,True,504,,5,4,MURO
-14.93289949264707,1.3322676295501878e-15,EX,True,505,,5,5,MURO
0.16008980540163886,-11.75087933919047,EX,True,601,,6,1,MURO
-0.6427992663336006,-11.57592370684008,EX,True,602,,6,2,MURO
1.8550187053994343,-11.26036593872635,EX,True,603,,6,3,MURO
-7.929066145223207,-8.170478290835248,EX,True,604,,6,4,MURO
-332.6899143664036,245.17786909903919,EX,True,705,,7,5,MURO
-111.87308015998795,-5.165721636133789,EX,True,801,,8,1,MURO
2474.1273576292556,-8.397345952528667,EX,True,802,,8,2,MURO
3114.4288517335553,1.059309140645155,EX,True,803,,8,3,MURO
2259.0975242923146,4.863188926759221,EX,True,804,,8,4,MURO
1170.4527303478114,5.961203701684212,EX,True,805,,8,5,MURO
0.015047134982863586,-4.793047357917733,EX,True,901,,9,1,MURO
-0.44875870019907715,-7.791529192462102,EX,True,902,,9,2,MURO
0.39875970145956685,0.9828826870135765,EX,True,903,,9,3,MURO
-4.680884323892595,4.5123630766546805,EX,True,904,,9,4,MURO
-42.120063340756985,-251.13907280072252,EX,True,905,,9,5,MURO
-4146.930736881999,-14.07499169911398,EX,True,1002,,10,2,MURO
-5220.1521034449,1.7755286939453754,EX,True,1003,,10,3,MURO
-3786.5153671841485,8.151348235110959,EX,True,1004,,10,4,MURO
-4075.1896466501894,-291.3052129763603,EX,True,1005,,10,5,MURO
0.013795973879070722,-4.39429266704154,EX,True,1101,,11,1,MURO
-0.4114150792476883,-7.14331538192997,EX,True,1102,,11,2,MURO
0.36565465486813015,0.9011148495477691,EX,True,1103,,11,3,MURO
-4.2914157920152265,4.1369643104802,EX,True,1104,,11,4,MURO
-77.49353365710125,3.552713678800501e-15,EX,True,1105,,11,5,MURO
0.013800690204364585,-4.39428291631728,EX,True,1201,,12,1,MURO
-0.41139210790203595,-7.1433014777056805,EX,True,1202,,12,2,MURO
0.3657094878148357,0.9011159064305907,EX,True,1203,,12,3,MURO
-4.291368313195688,4.1369640707720325,EX,True,1204,,12,4,MURO
0.7801190298597476,291.3052129763607,EX,True,1205,,12,5,MURO
0.029489931360089372,-9.439661884480053,EX,True,1301,,13,1,MURO
