panel_id,muro_origen,piso,z_inferior_m,z_superior_m,altura_m,longitud_m,espesor_m,area_elevacion_m2
505,5,5,15.84,19.8,3.960000000000001,7.949999999999999,0.25,31.482000000000003
601,6,1,0.0,3.96,3.96,6.499999999999998,0.25,25.73999999999999
602,6,2,3.96,7.92,3.96,6.499999999999998,0.25,25.73999999999999
603,6,3,7.92,11.88,3.960000000000001,6.499999999999998,0.25,25.74
604,6,4,11.88,15.84,3.959999999999999,6.499999999999998,0.25,25.739999999999988
705,7,5,15.84,19.8,3.960000000000001,6.5,0.25,25.740000000000006
801,8,1,0.0,3.96,3.96,2.6450000000000005,0.3,10.474200000000002
802,8,2,3.96,7.92,3.96,2.6450000000000005,0.3,10.474200000000002
803,8,3,7.92,11.88,3.960000000000001,2.6450000000000005,0.3,10.474200000000003
804,8,4,11.88,15.84,3.959999999999999,2.6450000000000005,0.3,10.4742
805,8,5,15.84,19.8,3.960000000000001,2.6450000000000005,0.3,10.474200000000003
901,9,1,0.0,3.96,3.96,2.9450000000000003,0.25,11.6622
902,9,2,3.96,7.92,3.96,2.9450000000000003,0.25,11.6622
903,9,3,7.92,11.88,3.960000000000001,2.9450000000000003,0.25,11.662200000000004
904,9,4,11.88,15.84,3.959999999999999,2.9450000000000003,0.25,11.662199999999999
905,9,5,15.84,19.8,3.960000000000001,2.9450000000000003,0.25,11.662200000000004
1002,10,2,3.96,7.92,3.96,6.65,0.2,26.334
1003,10,3,7.92,11.88,3.960000000000001,6.65,0.2,26.334000000000007
1004,10,4,11.88,15.84,3.959999999999999,6.65,0.2,26.333999999999996
1005,10,5,15.84,19.8,3.960000000000001,6.65,0.2,26.334000000000007
1101,11,1,0.0,3.96,3.96,2.25,0.3,8.91
1102,11,2,3.96,7.92,3.96,2.25,0.3,8.91
1103,11,3,7.92,11.88,3.960000000000001,2.25,0.3,8.910000000000002
1104,11,4,11.88,15.84,3.959999999999999,2.25,0.3,8.909999999999998
1105,11,5,15.84,19.8,3.960000000000001,2.25,0.3,8.910000000000002
1201,12,1,0.0,3.96,3.96,2.25,0.3,8.91
1202,12,2,3.96,7.92,3.96,2.25,0.3,8.91
1203,12,3,7.92,11.88,3.960000000000001,2.25,0.3,8.910000000000002
1204,12,4,11.88,15.84,3.959999999999999,2.25,0.3,8.909999999999998
1205,12,5,15.84,19.8,3.960000000000001,2.25,0.3,8.910000000000002
1301,13,1,0.0,3.96,3.96,7.25,0.2,28.71
1302,13,2,3.96,7.92,3.96,7.25,0.2,28.71
1303,13,3,7.92,11.88,3.960000000000001,7.25,0.2,28.710000000000008
1304,13,4,11.88,15.84,3.959999999999999,7.25,0.2,28.709999999999994
1305,13,5,15.84,19.8,3.960000000000001,7.25,0.2,28.710000000000008
1401,14,1,0.0,3.96,3.96,3.4000000000000004,0.2,13.464
1402,14,2,3.96,7.92,3.96,3.4000000000000004,0.2,13.464
1403,14,3,7.92,11.88,3.960000000000001,3.4000000000000004,0.2,13.464000000000004
1404,14,4,11.88,15.84,3.959999999999999,3.4000000000000004,0.2,13.463999999999999
1405,14,5,15.84,19.8,3.960000000000001,3.4000000000000004,0.2,13.464000000000004
1501,15,1,0.0,3.96,3.96,1.5799999999999996,0.25,6.256799999999998
1502,15,2,3.96,7.92,3.96,1.5799999999999996,0.25,6.256799999999998
1503,15,3,7.92,11.88,3.960000000000001,1.5799999999999996,0.25,6.2568
1504,15,4,11.88,15.84,3.959999999999999,1.5799999999999996,0.25,6.2567999999999975
1505,15,5,15.84,19.8,3.960000000000001,1.5799999999999996,0.25,6.2568
1601,16,1,0.0,3.96,3.96,1.5799999999999996,0.25,6.256799999999998
1602,16,2,3.96,7.92,3.96,1.5799999999999996,0.25,6.256799999999998
1603,16,3,7.92,11.88,3.960000000000001,1.5799999999999996,0.25,6.2568
1604,16,4,11.88,15.84,3.959999999999999,1.5799999999999996,0.25,6.2567999999999975
1605,16,5,15.84,19.8,3.960000000000001,1.5799999999999996,0.25,6.2568
1701,17,1,0.0,3.96,3.96,2.8000000000000003,0.2,11.088000000000001
1801,18,1,0.0,3.96,3.96,4.93,0.2,19.5228
1901,19,1,0.0,3.96,3.96,3.7699999999999996,0.2,14.929199999999998
2001,20,1,0.0,3.96,3.96,16.65,0.3,65.934
2101,21,1,0.0,3.96,3.96,10.5,0.3,41.58
2201,22,1,0.0,3.96,3.96,16.65,0.2,65.934
2302,23,2,3.96,7.92,3.96,15.0,0.3,59.4
2402,24,2,3.96,7.92,3.96,16.4,0.3,64.94399999999999
