caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,358,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,30.0,-4.12,15.84,19.8,900035,900047,,,7.941149733203469,0,7.941149733203469,OK
Q,1,COLUMN,E,0.0,0.0,0.0,3.96,1,100001,18,,108.5648698827885,88.3167004669437,20.2481694158448,OK
Q,2,COLUMN,F,10.0,0.0,0.0,3.96,101,100101,19,,238.56289926157214,695.5629358248538,-457.0000365632816,OK
Q,3,COLUMN,G,20.0,0.0,0.0,3.96,201,100201,20,,850.4612631984726,850.4612631984727,-1.1368683772161603e-13,OK
Q,4,COLUMN,E,0.0,7.25,0.0,3.96,1001,101001,24,,125.30750333688434,85.6552851743052,39.65221816257913,OK
Q,5,COLUMN,F,10.0,7.25,0.0,3.96,1101,101101,25,,1207.5671829937526,1096.9957159920293,110.57146700172325,OK
Q,6,COLUMN,G,20.0,7.25,0.0,3.96,1201,101201,26,,1261.730700966336,1261.7307009663357,2.2737367544323206e-13,OK
Q,7,COLUMN,E,0.0,16.15,0.0,3.96,2001,102001,30,,206.35809620230324,323.1797274550819,-116.82163125277864,OK
Q,8,COLUMN,F,10.0,16.15,0.0,3.96,2101,102101,31,,286.53151237558296,707.1838622920794,-420.65234991649646,OK
Q,9,COLUMN,G,20.0,16.15,0.0,3.96,2201,102201,32,,684.5134407313407,684.5134407313408,-1.1368683772161603e-13,OK
Q,10,COLUMN,1B,-20.8,16.15,0.0,3.96,700001,701001,36,,980.5247355946477,758.9384163067067,221.58631928794102,OK
Q,11,COLUMN,1C,-10.8,16.15,0.0,3.96,700002,701002,37,,996.0089818097165,775.4072234969576,220.60175831275888,OK
Q,12,COLUMN,1D,-0.8,16.15,0.0,3.96,700003,701003,38,,102.19376090835603,101.8766864878154,0.31707442054062085,OK
Q,13,COLUMN,2A,-28.3,7.25,0.0,3.96,700004,701004,39,,1202.5393633806113,924.6366453203942,277.9027180602171,OK
Q,14,COLUMN,2B,-20.8,7.25,0.0,3.96,700005,701005,40,,1632.6489359319846,1250.1221485992032,382.5267873327814,OK
Q,15,COLUMN,2C,-10.8,7.25,0.0,3.96,700006,701006,41,,1882.8287628808357,1440.390886913712,442.4378759671238,OK
Q,16,COLUMN,3B,-20.8,0.0,0.0,3.96,700007,701007,42,,765.1802151752203,593.2968031391954,171.88341203602488,OK
Q,17,COLUMN,3C,-10.8,0.0,0.0,3.96,700008,701008,43,,778.3534675199204,605.2437217796386,173.10974574028182,OK
Q,18,COLUMN,E,0.0,0.0,3.96,7.92,100001,200001,44,1,88.3167004669437,65.57073772613133,22.745962740812374,OK
Q,19,COLUMN,F,10.0,0.0,3.96,7.92,100101,200101,45,2,695.5629358248538,479.5800740934698,215.98286173138393,OK
Q,20,COLUMN,G,20.0,0.0,3.96,7.92,100201,200201,46,3,850.4612631984727,665.3118222585525,185.14944093992017,OK
Q,21,COLUMN,H,30.0,0.0,3.96,7.92,100301,200301,47,,823.0247108893244,686.6637966032741,136.36091428605027,OK
Q,22,COLUMN,I,40.0,0.0,3.96,7.92,100401,200401,48,,276.43028886640775,322.97556193465806,-46.54527306825031,OK
Q,23,COLUMN,I_prima,45.0,0.0,3.96,7.92,100451,200451,49,,396.6273848839953,349.85077466120316,46.77661022279216,OK
Q,24,COLUMN,E,0.0,7.25,3.96,7.92,101001,201001,50,4,85.6552851743052,73.88097842904459,11.774306745260617,OK
Q,25,COLUMN,F,10.0,7.25,3.96,7.92,101101,201101,51,5,1096.9957159920293,828.4442760244065,268.55143996762285,OK
Q,26,COLUMN,G,20.0,7.25,3.96,7.92,101201,201201,52,6,1261.7307009663357,925.9278924977435,335.80280846859216,OK
Q,27,COLUMN,H,30.0,7.25,3.96,7.92,101301,201301,53,,1367.7089429263337,1025.1405299996436,342.56841292669014,OK
Q,28,COLUMN,I,40.0,7.25,3.96,7.92,101401,201401,54,,985.531169664891,721.9349883424035,263.5961813224875,OK
Q,29,COLUMN,I_prima,45.0,7.25,3.96,7.92,101451,201451,55,,725.9203184460656,642.1905268479122,83.72979159815338,OK
Q,30,COLUMN,E,0.0,16.15,3.96,7.92,102001,202001,56,7,323.1797274550819,142.54876047934124,180.63096697574065,OK
Q,31,COLUMN,F,10.0,16.15,3.96,7.92,102101,202101,57,8,707.1838622920794,550.4207448877979,156.7631174042815,OK
Q,32,COLUMN,G,20.0,16.15,3.96,7.92,102201,202201,58,9,684.5134407313408,528.8248025897632,155.6886381415776,OK
Q,33,COLUMN,H,30.0,16.15,3.96,7.92,102301,202301,59,,436.28632908885675,543.5630720208959,-107.27674293203916,OK
Q,34,COLUMN,I,40.0,16.15,3.96,7.92,102401,202401,60,,312.62519636559256,389.9035533070566,-77.27835694146404,OK
Q,35,COLUMN,I_prima,45.0,16.15,3.96,7.92,102451,202451,61,,276.685070838046,390.7299787365459,-114.0449078984999,OK
Q,36,COLUMN,1B,-20.8,16.15,3.96,7.92,701001,702001,62,10,758.9384163067067,536.6362660898718,222.3021502168349,OK
Q,37,COLUMN,1C,-10.8,16.15,3.96,7.92,701002,702002,63,11,775.4072234969576,550.3497722172725,225.0574512796851,OK
Q,38,COLUMN,1D,-0.8,16.15,3.96,7.92,701003,702003,64,12,101.8766864878154,124.120382169734,-22.243695681918595,OK
Q,39,COLUMN,2A,-28.3,7.25,3.96,7.92,701004,702004,65,13,924.6366453203942,647.3686712998077,277.2679740205865,OK
Q,40,COLUMN,2B,-20.8,7.25,3.96,7.92,701005,702005,66,14,1250.1221485992032,874.2928969262607,375.8292516729425,OK
Q,41,COLUMN,2C,-10.8,7.25,3.96,7.92,701006,702006,67,15,1440.390886913712,1007.4642680846586,432.9266188290534,OK
