piso,bloque,z_m,nodo,x_m,y_m,G_kN,Q_kN,peso_sismico_kN,masa_t
1,LT2,3.96,3000122,-1.8975000000000002,13.045,38.51880503625001,-0.0,38.51880503625001,3.9278250000000012
1,LT2,3.96,3000123,-3.2200000000000006,13.045,37.12926402281251,-0.0,37.12926402281251,3.786131250000001
1,LT2,3.96,3000134,-3.22,10.1,17.869861504687503,-0.0,17.869861504687503,1.8222187500000004
1,LT2,3.96,3000135,-3.22,11.5725,35.739723009375005,-0.0,35.739723009375005,3.644437500000001
2,LT1,7.92,200001,0.0,0.0,264.58257165000003,44.89789912150002,287.03152121075004,29.269069581431992
2,LT1,7.92,200101,10.0,0.0,407.2761454499999,101.978477554841,458.2653842274204,46.730064214326035
2,LT1,7.92,200201,20.0,0.0,243.44285355000002,68.67596995,277.78083852500004,28.325762469854645
2,LT1,7.92,200301,30.0,0.0,269.72332665,76.0015375,307.7240954,31.379124920334675
2,LT1,7.92,200401,40.0,0.0,269.72332715000005,86.58291284999999,313.014783575,31.918624971320487
2,LT1,7.92,200451,45.0,0.0,186.98278215000002,53.01720156249999,213.49138293125003,21.7700624506075
2,LT1,7.92,201001,0.0,7.25,418.14556665000003,127.08988681124997,481.690510055625,49.11876227413286
2,LT1,7.92,201101,10.0,7.25,559.0641226500001,189.86562451875,653.9969349093751,66.68912777649606
2,LT1,7.92,201201,20.0,7.25,452.8625156499999,156.17090125,530.9479662749999,54.141624945827566
2,LT1,7.92,201301,30.0,7.25,452.8625156499999,156.17090125,530.9479662749999,54.141624945827566
2,LT1,7.92,201401,40.0,7.25,452.8625156499999,166.10258603749998,535.9138086687499,54.647999945827564
2,LT1,7.92,201451,45.0,7.25,313.04947415,97.22557976249996,361.66226403124995,36.87928742549698
2,LT1,7.92,202001,0.0,16.15,335.65386515,90.66983423749997,380.98878226875,38.85004382421622
2,LT1,7.92,202101,10.0,16.15,441.35392214999996,120.72353899375,501.715691646875,51.16076250777534
2,LT1,7.92,202201,20.0,16.15,329.75841314999997,84.09202375000001,371.804425025,37.91350002549291
2,LT1,7.92,202301,30.0,16.15,329.75841314999997,84.09202375000001,371.804425025,37.91350002549291
2,LT1,7.92,202401,40.0,16.15,329.75841314999997,84.09202375000001,371.804425025,37.91350002549291
2,LT1,7.92,202451,45.0,16.15,223.16233365,46.782623825,246.55364556249998,25.141474974889487
2,LT1,7.92,612003,-0.25,2.9,76.933951,26.988207257812498,90.42805462890624,9.22109534131495
2,LT1,7.92,900017,10.0,-4.12,130.94023104528,37.276412798250014,149.578437444405,15.252755777396462
2,LT1,7.92,900018,17.49,-4.12,130.94023054528,37.29939714200001,149.58992911628002,15.253927601808979
2,LT1,7.92,900019,15.0,0.0,224.6577036,86.83761605149999,268.07651162574996,27.336196522334333
2,LT1,7.92,900020,15.0,16.15,282.18635399999994,84.09202375000001,324.2323658749999,33.0625000254929
2,LT1,7.92,900021,25.0,0.0,222.1512675,76.0015375,260.15203625,26.52812492033467
2,LT1,7.92,900022,25.0,16.15,282.18635399999994,84.09202375000001,324.2323658749999,33.0625000254929
2,LT1,7.92,900023,17.49,0.0,103.48208680000002,31.375098130409,119.16963586520453,12.151920978642506
2,LT1,7.92,900024,35.0,0.0,222.151268,76.0603774,260.1814567,26.531124971320484
2,LT1,7.92,900025,35.0,16.15,282.18635399999994,84.09202375000001,324.2323658749999,33.0625000254929
2,LT1,7.92,900049,-0.25,0.0,110.77106759375,32.98129622343749,127.26171570546875,12.977083479625433
2,LT1,7.92,900050,-0.25,7.25,227.08156159375005,76.6842642146875,265.4236937010938,27.065684377549296
2,LT1,7.92,900052,-0.25,16.15,160.79499399999997,46.1357404160625,183.86286420803123,18.748794359748867
2,LT1,7.92,900134,15.0,7.25,405.29045649999995,156.14791690624997,483.36441495312494,49.289453070429246
2,LT1,7.92,900135,25.0,7.25,405.29045649999995,156.17090125,483.3759071249999,49.29062494582757
2,LT1,7.92,900136,35.0,7.25,405.29045649999995,156.19296621249998,483.38693960624994,49.291749945827576
2,LT1,7.92,3000149,-0.25,12.25,16.140520068750007,-0.0,16.140520068750007,1.6458750000000009
2,LT1,7.92,3000150,1.4125,12.25,32.281040137500014,-0.0,32.281040137500014,3.2917500000000017
2,LT1,7.92,3000151,3.075,12.25,21.23752640625,-0.0,21.23752640625,2.1656250000000004
2,LT1,7.92,3000152,3.5999999999999996,12.25,32.523754725,-0.0,32.523754725,3.3165000000000004
2,LT1,7.92,3000153,4.737500000000001,12.25,27.18403380000001,-0.0,27.18403380000001,2.772000000000001
2,LT1,7.92,3000154,6.4,12.25,32.523754725,-0.0,32.523754725,3.3165000000000004
2,LT1,7.92,3000178,3.6,10.0,16.383234656250004,-0.0,16.383234656250004,1.6706250000000005
2,LT1,7.92,3000179,3.6,11.125,32.76646931250001,-0.0,32.76646931250001,3.341250000000001
2,LT1,7.92,3000191,6.4,10.0,16.383234656250004,-0.0,16.383234656250004,1.6706250000000005
2,LT1,7.92,3000192,6.4,11.125,32.76646931250001,-0.0,32.76646931250001,3.341250000000001
2,LT1,7.92,3000207,-0.25,1.8125,35.193615187500015,-0.0,35.193615187500015,3.588750000000002
2,LT1,7.92,3000208,-0.25,3.625,35.193615187500015,-0.0,35.193615187500015,3.588750000000002
2,LT1,7.92,3000209,-0.25,5.4375,35.193615187500015,-0.0,35.193615187500015,3.588750000000002
2,LT1,7.92,3000225,3.3,2.305,35.67904436250001,-0.0,35.67904436250001,3.638250000000001
2,LT1,7.92,3000226,5.0,2.305,33.00918390000001,-0.0,33.00918390000001,3.3660000000000014
2,LT1,7.92,3000227,6.7,2.305,35.67904436250001,-0.0,35.67904436250001,3.638250000000001
2,LT1,7.92,3000239,3.3,3.885,19.1744524125,-0.0,19.1744524125,1.95525
2,LT1,7.92,3000245,6.7,3.885,19.1744524125,-0.0,19.1744524125,1.95525
2,LT1,7.92,3000323,30.0,16.4,13.652695546875,-0.0,13.652695546875,1.3921875000000001
2,LT1,7.92,3000324,31.875,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
2,LT1,7.92,3000325,33.75,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
2,LT1,7.92,3000326,35.625,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
2,LT1,7.92,3000327,37.5,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
2,LT1,7.92,3000328,39.375,16.4,19.295809706249983,-0.0,19.295809706249983,1.9676249999999984
2,LT1,7.92,3000329,40.15,16.4,26.921092996875004,-0.0,26.921092996875004,2.7451875000000006
2,LT1,7.92,3000330,41.25,16.4,21.662276934375015,-0.0,21.662276934375015,2.2089375000000016
2,LT1,7.92,3000331,43.125,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
2,LT1,7.92,3000332,45.0,16.4,13.652695546875,-0.0,13.652695546875,1.3921875000000001
2,LT1,7.92,3000342,40.15,0.0,13.268397449999998,-0.0,13.268397449999998,1.353
2,LT1,7.92,3000343,40.15,1.822222222222222,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT1,7.92,3000344,40.15,3.644444444444444,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT1,7.92,3000345,40.15,5.466666666666666,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT1,7.92,3000346,40.15,7.288888888888888,26.536794900000004,-0.0,26.536794900000004,2.7060000000000004
2,LT1,7.92,3000347,40.15,9.11111111111111,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT1,7.92,3000348,40.15,10.933333333333332,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT1,7.92,3000349,40.15,12.755555555555555,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT1,7.92,3000350,40.15,14.577777777777776,26.536794899999997,-0.0,26.536794899999997,2.706
2,LT2,7.92,702001,-20.8,16.15,303.99144015,101.60056904208747,354.79172467104377,36.17868738774646
2,LT2,7.92,702002,-10.8,16.15,333.14170715000006,116.09602602499999,391.18972016250007,39.89025000000001
2,LT2,7.92,702003,-0.8,16.15,47.57205915,-0.0,47.57205915,4.851
2,LT2,7.92,702004,-28.3,7.25,192.49817994999998,61.341637706562494,223.16899880328123,22.756904631375775
2,LT2,7.92,702005,-20.8,7.25,414.0795136499999,173.09288628896246,500.6259567944811,51.04964047809202
2,LT2,7.92,702006,-10.8,7.25,452.86251565,197.8393571,551.7821941999999,56.26612494582757
2,LT2,7.92,702007,-20.8,0.0,247.28678415000005,83.126681640625,288.85012497031255,29.454515555292843
2,LT2,7.92,702008,-10.8,0.0,269.72332665,95.001921875,317.2242875875,32.34787492033467
2,LT2,7.92,600003,-32.05,0.07599999999999985,44.35990985,10.3858763499225,49.55284802496125,5.05298425302843
2,LT2,7.92,601003,-31.31,0.0,38.33370999999998,11.409866639289998,44.03864331964498,4.490691859059412
2,LT2,7.92,602003,-32.05,15.493,44.35991035,10.3858753692575,49.55284803462875,5.052984254014241
2,LT2,7.92,603003,-31.31,16.15,46.43870249999998,11.318421099037499,52.09791304951872,5.312508659890862
2,LT2,7.92,900048,-32.05,0.0,79.31686740624997,2.6879223504699996,80.66082858148496,8.22511546567737
2,LT2,7.92,900051,-32.05,16.15,85.01759797249998,3.6933501223849996,86.86427303369248,8.857690754099767
2,LT2,7.92,900053,-32.05,11.885,169.79439771999998,41.6861073296675,190.63745138483372,19.439609997790654
2,LT2,7.92,900054,-24.55,11.885,167.40296349999997,73.07272018593748,203.93932359296872,20.796023473150232
2,LT2,7.92,900055,-32.05,4.265,175.48735990999995,43.181940170792494,197.0783299953962,20.096396832291987
2,LT2,7.92,900056,-24.55,4.265,138.4289095,58.0354482421875,167.44663362109375,17.074804711200436
2,LT2,7.92,900057,-28.3,0.0,118.03598175,41.767788388515,138.9198759442575,14.165884980524186
2,LT2,7.92,900058,-28.3,16.15,136.71445874999998,42.251316544412504,157.84011702220624,16.095212638587718
2,LT2,7.92,900059,-24.55,0.0,129.36833785,47.356847312424996,153.04676150621248,15.606426405165116
2,LT2,7.92,900060,-24.55,16.15,151.57904284999998,49.015357767074995,176.08672173353747,17.95584850418211
2,LT2,7.92,900061,-15.8,0.0,222.1512675,95.001921875,269.65222843749996,27.49687492033467
2,LT2,7.92,900062,-15.8,16.15,285.56964800000003,116.09602602499999,343.61766101250004,35.03925
2,LT2,7.92,900063,-5.8,0.0,231.80539450000003,100.055411203125,281.83310010156254,28.738978152739474
2,LT2,7.92,900064,-5.8,16.15,297.41427749999997,121.3990185940875,358.1137867970437,36.517443448786665
2,LT2,7.92,900142,-24.55,7.25,189.62242179999998,79.22260524237498,229.23372442118747,23.375334535359933
2,LT2,7.92,900143,-15.8,7.25,405.29045649999995,197.8393571,504.21013504999996,51.41512494582758
2,LT2,7.92,900144,-5.8,7.25,420.6093315,207.3532761458375,524.2859695729187,53.4622903410358
2,LT2,7.92,900145,-28.3,11.885,204.70222999999996,83.11325829810498,246.25885914905245,25.111415126373682
2,LT2,7.92,900146,-28.3,4.265,178.09843599999996,70.15425133928748,213.1755616696437,21.73785764452119
2,LT2,7.92,3000007,-32.05,-1.09,31.74706804500001,-0.0,31.74706804500001,3.237300000000001
2,LT2,7.92,3000008,-32.05,0.36749999999999994,53.1544946625,-0.0,53.1544946625,5.42025
2,LT2,7.92,3000009,-32.05,1.825,42.45078135375,-0.0,42.45078135375,4.328775
2,LT2,7.92,3000020,-30.2,0.0,26.941319212499973,-0.0,26.941319212499973,2.7472499999999975
2,LT2,7.92,3000030,-32.05,14.325,42.523595730000025,-0.0,42.523595730000025,4.3362000000000025
