P_objetivo_kN,phi_1_m,M_kNm,P_seccion_kN,eps0,eps_c_extrema,eps_s_max_abs
0.0,0.01350000000000001,742.3099921180971,4.995115432393504e-12,0.003249171479396015,-0.0014758285206039885,0.006988671479396018
0.0,0.01375000000000001,743.4002405183008,8.526512829121202e-14,0.003317809693607937,-0.0014946903063920666,0.0071265596936079395
0.0,0.01400000000000001,744.4844235325303,-9.727330052555772e-12,0.003386397874365758,-0.0015136021256342454,0.007264397874365761
0.0,0.014250000000000011,745.562475312157,-3.382183422218077e-12,0.0034549354145150804,-0.0015325645854849228,0.007402185414515083
0.0,0.014500000000000011,746.6343286652683,-1.0516032489249483e-12,0.0035234216939401494,-0.0015515783060598546,0.007539921693940152
0.0,0.014750000000000011,747.6999150166629,2.3874235921539366e-12,0.0035918560791715097,-0.0015706439208284942,0.007677606079171512
0.0,0.015000000000000012,748.7591643663379,4.007461029686965e-12,0.00366023792297821,-0.0015897620770217937,0.007815237922978212
0.0,0.015250000000000012,749.8120052462933,3.844036200462142e-12,0.0037285665639438612,-0.0016089334360561425,0.007952816563943865
0.0,0.015500000000000012,750.8583646756564,-2.3092638912203256e-12,0.0037968413260256843,-0.0016281586739743193,0.008090341326025687
0.0,0.01575000000000001,751.8981681140025,6.394884621840902e-12,0.003865061518095777,-0.0016474384819042264,0.00822781151809578
0.0,0.01600000000000001,752.9313394127756,-1.0373923942097463e-11,0.00393322643346367,-0.0016667735665363333,0.008365226433463673
0.0,0.01625000000000001,753.9578007647629,7.467804152838653e-12,0.004001335349379208,-0.0016861646506207955,0.00850258534937921
0.0,0.01650000000000001,754.9774726514398,-5.265121671982342e-12,0.004069387526514881,-0.0017056124734851222,0.008639887526514883
0.0,0.01675000000000001,755.9902737881739,1.4495071809506044e-12,0.00413738220842634,-0.0017251177915736642,0.008777132208426342
0.0,0.01700000000000001,756.9961210671111,7.929656931082718e-12,0.004205318620990206,-0.001744681379009798,0.008914318620990208
0.0,0.017250000000000012,757.994929497641,-1.2008172234345693e-12,0.004273195971817787,-0.0017643040281822165,0.009051445971817791
0.0,0.017500000000000012,758.986612144322,5.400124791776761e-13,0.004341013449643559,-0.0017839865503564449,0.00918851344964356
0.0,0.017750000000000012,759.9710800621298,8.185452315956354e-12,0.004408770223687023,-0.0018037297763129805,0.009325520223687026
0.0,0.018000000000000013,760.9482422288758,-2.8137492336099967e-12,0.004476465442986483,-0.0018235345570135212,0.009462465442986486
0.0,0.018250000000000013,761.9180054746637,9.919176591210999e-12,0.004544098235703264,-0.0018434017642967402,0.009599348235703267
0.0,0.018500000000000013,762.8802744081811,6.146194664324867e-12,0.004611667708394743,-0.0018633322916052613,0.009736167708394746
0.0,0.018750000000000013,763.8349513397211,-5.8051341511600185e-12,0.004679172945254413,-0.0018833270547455915,0.009872922945254416
0.0,0.019000000000000013,764.4520528209482,-5.31983346263587e-11,0.0047478847340521,-0.0019021152659479037,0.010010884734052103
0.0,0.019250000000000014,764.6852589740712,-6.487255177489715e-12,0.004818004990010696,-0.001919495009989309,0.0101502549900107
0.0,0.019500000000000014,764.9141146832932,5.194067398406332e-12,0.004888078689293317,-0.0019369213107066872,0.010289578689293321
0.0,0.019750000000000014,765.1385721491092,4.177991286269389e-12,0.004958105256253094,-0.0019543947437469103,0.010428855256253098
0.0,0.020000000000000014,765.3585825781588,7.247535904753022e-12,0.005028084102511242,-0.0019719158974887624,0.010568084102511244
0.0,0.020250000000000015,765.5740961526778,2.8705926524708048e-12,0.0050980146265574774,-0.001989485373442527,0.01070726462655748
0.0,0.020500000000000015,765.7850619987507,2.2666313270747196e-12,0.0051678962133341125,-0.002007103786665892,0.010846396213334115
0.0,0.020750000000000015,765.9914281532721,-3.232969447708456e-12,0.005237728233803026,-0.002024771766196979,0.010985478233803029
0.0,0.021000000000000015,766.1931415295461,3.574029960873304e-12,0.0053075100444946195,-0.0020424899555053855,0.011124510044494624
0.0,0.021250000000000015,766.3531409579366,-1.6690648863004753e-11,0.005378079764697532,-0.002059420235302473,0.011264329764697534
0.0,0.021500000000000016,766.457364686947,2.2666313270747196e-12,0.005449786993549847,-0.0020752130064501575,0.01140528699354985
0.0,0.021750000000000016,766.55863978759,-7.744915819785092e-13,0.005521446412428134,-0.0020910535875718703,0.011546196412428138
0.0,0.022000000000000016,766.6569295153972,-4.973799150320701e-14,0.00559305735694231,-0.0021069426430576953,0.011687057356942313
0.0,0.022250000000000016,766.7521962659539,-4.547473508864641e-13,0.0056646191456696665,-0.002122880854330339,0.01182786914566967
0.0,0.022500000000000017,766.8444015444715,-2.9771740628348198e-12,0.005736131079534712,-0.002138868920465293,0.011968631079534716
0.0,0.022750000000000017,766.9335059339639,-3.716138508025324e-12,0.005807592441159605,-0.002154907558840401,0.012109342441159607
0.0,0.023000000000000017,767.0194690619055,2.5579538487363607e-13,0.00587900249418343,-0.0021709975058165753,0.012250002494183433
0.0,0.023250000000000017,767.1022495653265,-2.3234747459355276e-12,0.005950360482548422,-0.0021871395174515836,0.012390610482548426
0.0,0.023500000000000017,767.1818050541793,5.968558980384842e-13,0.006021665629751251,-0.002203334370248754,0.012531165629751255
