node,ux,uy,uz,rx,ry,rz
23,-3.6040708066482654e-06,5.049006123944965e-06,-0.001919020145418721,-0.00045216654843427666,-0.0006855167551046657,4.241677589639527e-18
24,-3.6040708066499044e-06,-5.049006123968434e-06,-0.0019190201454188948,0.00045216654843428935,-0.0006855167551047402,4.655080000032498e-18
25,-5.4061062099749635e-06,5.0490061239469605e-06,-0.0015138143609783026,-0.00045216654843427515,-0.0009177282576570075,3.719807392544197e-18
26,-5.406106209976784e-06,-5.049006123966181e-06,-0.0015138143609784343,0.00045216654843428626,-0.0009177282576570998,4.328253436960303e-18
27,-7.208141613301643e-06,5.049006123948646e-06,-0.0010214090752617099,-0.0004521665484342737,-0.0010296272602093638,3.0075857018064563e-18
28,-7.2081416133036636e-06,-5.049006123964135e-06,-0.0010214090752617968,0.00045216654843428306,-0.0010296272602094505,3.8301846311937166e-18
29,-9.010177016628328e-06,5.049006123949943e-06,-0.0005082105382689416,-0.00045216654843427233,-0.0009977762627617094,2.1817138777842215e-18
30,-9.010177016630543e-06,-5.049006123962376e-06,-0.000508210538268985,0.0004521665484342767,-0.0009977762627617962,3.1777287408197713e-18
31,1.0812212419964967e-05,4.039204899137669e-06,-0.00030435385304543316,-0.0005461082387474446,0.0008081127653140833,7.679720329672537e-19
32,-1.0812212419955519e-05,4.039204899159632e-06,-0.0003043538530454228,-0.000546108238747419,-0.0008081127653140651,7.331132950074539e-19
33,1.0812212419964748e-05,3.02940367434641e-06,-0.0005775535512474432,-0.000529112429060594,0.0008081127653140902,1.412358478214642e-19
34,-1.081221241995577e-05,3.029403674368447e-06,-0.0005775535512474187,-0.0005291124290605639,-0.000808112765314073,2.784894957750561e-19
35,1.0812212419964782e-05,2.019602449555152e-06,-0.0008172553446060264,-0.0004152416193737377,0.0008081127653140971,-2.514551033200655e-19
36,-1.0812212419955804e-05,2.0196024495772635e-06,-0.0008172553446059871,-0.00041524161937371026,-0.0008081127653140809,-1.1114635880501723e-19
37,1.081221241996497e-05,1.009801224763894e-06,-0.0009804904831211799,-0.0002279333096868751,0.0008081127653141042,-4.649665596427554e-19
38,-1.0812212419955685e-05,1.0098012247860803e-06,-0.0009804904831211296,-0.00022793330968685896,-0.0008081127653140887,-3.3080886056282864e-19
39,1.0812212419965226e-05,-2.7364239657578768e-17,-0.0010383527167929008,-7.771387119930792e-18,0.0008081127653141116,-5.379794667129964e-19
40,-1.0812212419955522e-05,-5.103599066582174e-18,-0.0010383527167928451,-3.628556632151531e-18,-0.0008081127653140968,-2.841443241843011e-19
41,1.0812212419965482e-05,-1.0098012248186225e-06,-0.000980490483121187,0.00022793330968686265,0.0008081127653141187,-4.663110468944748e-19
42,-1.0812212419955438e-05,-1.0098012247962873e-06,-0.0009804904831211326,0.00022793330968685335,-0.0008081127653141049,-2.876447070691967e-20
43,1.0812212419965677e-05,-2.019602449609876e-06,-0.0008172553446060385,0.00041524161937373096,0.000808112765314126,-2.771347388382113e-19
44,-1.0812212419955533e-05,-2.0196024495874703e-06,-0.0008172553446059918,0.0004152416193737097,-0.0008081127653141136,4.1773328785472356e-19
45,1.0812212419965734e-05,-3.029403674401117e-06,-0.000577553551247457,0.0005291124290605941,0.0008081127653141335,9.764856743540329e-20
46,-1.0812212419955871e-05,-3.029403674378653e-06,-0.0005775535512474228,0.0005291124290605661,-0.0008081127653141222,9.452061647484233e-19
47,1.0812212419965585e-05,-4.039204899192352e-06,-0.0003043538530454444,0.0005461082387474558,0.0008081127653141408,5.56992465991983e-19
48,-1.0812212419956475e-05,-4.0392048991698245e-06,-0.0003043538530454249,0.0005461082387474252,-0.0008081127653141311,1.4782123609307336e-18
